# slug | brand | code | assigned_leaf | price | title | description
bosch-00056317 | Bosch | 00056317 | cleaning-products | 6.76 | "Water Hardness Test Strip" | "Water Hardness Test Strip"
bosch-00086180 | Bosch | 00086180 | vacuum-accessories | 8.3 | "Reusable fabric filter For vacuum cleaners" | "Reusable fabric filter For vacuum cleaners"
bosch-00146450 | Bosch | 00146450 | cooker-hood-accessories | 997.86 | "Long Life odor filter (replacement) 3 pcs" | "Long Life odor filter (replacement) 3 pcs"
bosch-00271068 | Bosch | 00271068 | cooker-hood-accessories | 140.26 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00296173 | Bosch | 00296173 | cooker-hood-accessories | 46.36 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00296178 | Bosch | 00296178 | cooker-hood-accessories | 40.9 | "Standard odor filter" | "Standard odor filter"
bosch-00299600 | Bosch | 00299600 | cooker-hood-accessories | 38.27 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00311896 | Bosch | 00311896 | cleaning-products | 10.18 | "Ceramic & Induction Hob Cleaner 250ml" | "Ceramic & Induction Hob Cleaner 250ml"
bosch-00311900 | Bosch | 00311900 | cleaning-products | 14.72 | "Maintenance pack for ceramic glass and induction hobs" | "Maintenance pack for ceramic glass and induction hobs"
bosch-00311909 | Bosch | 00311909 | cleaning-products | 7.52 | "Tassimo descaling tablets" | "Tassimo descaling tablets"
bosch-00311925 | Bosch | 00311925 | cleaning-products | 8.24 | "Washing Machine Cleaner" | "Washing Machine Cleaner"
bosch-00311945 | Bosch | 00311945 | cleaning-products | 10.82 | "Conditioning Oil: Stainless Steel Surfaces" | "Conditioning Oil: Stainless Steel Surfaces"
bosch-00311946 | Bosch | 00311946 | cleaning-products | 11.66 | "Cleaning Powder for Stainless Steel Surfaces" | "Cleaning Powder for Stainless Steel Surfaces"
bosch-00311964 | Bosch | 00311964 | cleaning-products | 18.58 | "Cleaning & Care Set: Stainless Steel Surfaces" | "Cleaning & Care Set: Stainless Steel Surfaces"
bosch-00311972 | Bosch | 00311972 | cleaning-products | 16.56 | "Descaling solution for steam irons" | "Descaling solution for steam irons"
