# slug | brand | code | assigned_leaf | price | title | description
bosch-00437573 | Bosch | 00437573 | cooking-accessories | 34.67 | "Baking tray enamel Enamelled oven baking tray" | "Baking tray enamel Enamelled oven baking tray"
bosch-00437615 | Bosch | 00437615 | cooking-accessories | 62.69 | "Extra Deep Enamel Drip Pan" | "Extra Deep Enamel Drip Pan"
bosch-00437796 | Bosch | 00437796 | cooking-accessories | 42.13 | "Baking tray self-cleaning Enamelled oven baking tray" | "Baking tray self-cleaning Enamelled oven baking tray"
bosch-00437803 | Bosch | 00437803 | cooking-accessories | 80.8 | "Lid for professional pan enamelled grey" | "Lid for professional pan enamelled grey"
bosch-00437875 | Bosch | 00437875 | cooking-accessories | 52.88 | "Enamelled oven baking tray" | "Enamelled oven baking tray"
bosch-00441171 | Bosch | 00441171 | cooking-accessories | 30.29 | "Baking tray self-cleaning Enamelled baking tray" | "Baking tray self-cleaning Enamelled baking tray"
bosch-00441174 | Bosch | 00441174 | cooking-accessories | 80.33 | "Glass Baking Tray" | "Glass Baking Tray"
bosch-00449949 | Bosch | 00449949 | cooking-accessories | 72.67 | "Extra-deep Enamel Pan" | "Extra-deep Enamel Pan"
bosch-00452151 | Bosch | 00452151 | cooking-accessories | 24.64 | "Paper Grease Filter" | "Paper Grease Filter"
bosch-00452152 | Bosch | 00452152 | cooking-accessories | 38.5 | "Grease Filter - Wider Size" | "Grease Filter - Wider Size"
bosch-00460118 | Bosch | 00460118 | cooking-accessories | 89.66 | "Metal-mesh grease filter Replacement metal filter for extractor hoods" | "Metal-mesh grease filter Replacement metal filter for extractor hoods"
bosch-00460763 | Bosch | 00460763 | cooking-accessories | 73.48 | "Paper filter Replacement metal filters for extractor hoods" | "Paper filter Replacement metal filters for extractor hoods"
bosch-00463892 | Bosch | 00463892 | cooking-accessories | 158.22 | "Baking stone" | "Baking stone"
bosch-00464222 | Bosch | 00464222 | cooking-accessories | 109.54 | "Ecolysis set ecoClean-Set" | "Ecolysis set ecoClean-Set"
bosch-00466164 | Bosch | 00466164 | cooking-accessories | 20.16 | "Bake-O-Glide Roasting Pan Liner" | "Bake-O-Glide Roasting Pan Liner"
bosch-00466165 | Bosch | 00466165 | cooking-accessories | 35.28 | "Bake-O-Glide Multipurpose Roll" | "Bake-O-Glide Multipurpose Roll"
bosch-00466166 | Bosch | 00466166 | cooking-accessories | 14.44 | "Bake-O-Glide Oven Liner" | "Bake-O-Glide Oven Liner"
bosch-00466546 | Bosch | 00466546 | cooking-accessories | 15.54 | "Accessory holder Allows cleaning of universal pan in pyrolytic ovens IC5" | "Accessory holder Allows cleaning of universal pan in pyrolytic ovens IC5"
bosch-00467829 | Bosch | 00467829 | cooking-accessories | 82.13 | "Baking tray enamelled, side removable For ovens Suitable for various models" | "Baking tray enamelled, side removable For ovens"
bosch-00468419 | Bosch | 00468419 | cooking-accessories | 63.32 | "Glass Tray" | "Glass Tray"
bosch-00470757 | Bosch | 00470757 | cooking-accessories | 71.87 | "Design handle bar For extractor hoods" | "Design handle bar For extractor hoods"
bosch-00470762 | Bosch | 00470762 | cooking-accessories | 42.84 | "Design handle bar For extractor hoods" | "Design handle bar For extractor hoods"
bosch-00471883 | Bosch | 00471883 | cooking-accessories | 47.58 | "Multi-use wire shelf Wire multi use baking tray for ovens" | "Multi-use wire shelf Wire multi use baking tray for ovens"
bosch-00472149 | Bosch | 00472149 | cooking-accessories | 53.56 | "Glass Baking Tray" | "Glass Baking Tray"
bosch-00476644 | Bosch | 00476644 | cooking-accessories | 53.98 | "Stainless Steel Decor Strip" | "Stainless Steel Decor Strip"
bosch-00476645 | Bosch | 00476645 | cooking-accessories | 43.12 | "Design strip For built-in ovens and microwaves" | "Design strip For built-in ovens and microwaves"
bosch-00479677 | Bosch | 00479677 | cooking-accessories | 41.32 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
bosch-00499649 | Bosch | 00499649 | cooking-accessories | 48.56 | "Lamp complete ceiling 240V 40W" | "Lamp complete ceiling 240V 40W"
bosch-00573582 | Bosch | 00573582 | cooking-accessories | 15.44 | "Rosti Mepal Chopping Board (red)" | "Rosti Mepal Chopping Board (red)"
bosch-00573900 | Bosch | 00573900 | cooking-accessories | 59.92 | "Gastronorm Ceramic Dish: 2/3" | "Gastronorm Ceramic Dish: 2/3"
bosch-00574874 | Bosch | 00574874 | cooking-accessories | 42.7 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
bosch-00574876 | Bosch | 00574876 | cooking-accessories | 23.99 | "Oven Wire Rack 465 mm x 375 mm" | "Oven Wire Rack 465 mm x 375 mm"
bosch-00574913 | Bosch | 00574913 | cooking-accessories | 55.31 | "Universal Pan - Grey Enamel" | "Universal Pan - Grey Enamel"
bosch-00575760 | Bosch | 00575760 | cooking-accessories | 40.55 | "Glass roaster 400 x 250 x 60 mm (LxBxH)" | "Glass roaster 400 x 250 x 60 mm (LxBxH)"
bosch-00576109 | Bosch | 00576109 | cooking-accessories | 6 | "1lb Loaf Liner" | "1lb Loaf Liner"
bosch-00576110 | Bosch | 00576110 | cooking-accessories | 7.03 | "2lb Loaf Liner" | "2lb Loaf Liner"
bosch-00576118 | Bosch | 00576118 | cooking-accessories | 125.11 | "Steam Cooking Insert" | "Steam Cooking Insert"
bosch-00576227 | Bosch | 00576227 | cooking-accessories | 7.97 | "Rosti Mepal Risotto Spoon (white)" | "Rosti Mepal Risotto Spoon (white)"
