# slug | brand | code | assigned_leaf | price | title | description
bosch-hqa534bs3b | Bosch | HQA534BS3B | ovens | 399 | "Series 4 Built-in oven with added steam function 60 x 60 cm Stainless steel" | "Series 4 Built-in oven with added steam function"
bosch-hqa534bw3b | Bosch | HQA534BW3B | ovens | 399 | "Series 4 Built-in oven with added steam function 60 x 60 cm White" | "Series 4 Built-in oven with added steam function"
bosch-hqa574bb3b | Bosch | HQA574BB3B | ovens | 479 | "Series 4 Built-in oven with added steam function 60 x 60 cm Black" | "Series 4 Built-in oven with added steam function"
bosch-hqa574bs3b | Bosch | HQA574BS3B | ovens | 599 | "Series 4 Built-in oven with added steam function 60 x 60 cm Stainless steel" | "Series 4 Built-in oven with added steam function"
bosch-hrg7764b1b | Bosch | HRG7764B1B | ovens | no-price | "Series 8 Built-in oven with added steam function 60 x 60 cm Black" | "Series 8 Built-in oven with added steam function"
bosch-hsg7364b1b | Bosch | HSG7364B1B | ovens | no-price | "Series 8 Built-in oven with steam function 60 x 60 cm Black" | "Series 8 Built-in oven with steam function"
bosch-mba533bb3b | Bosch | MBA533BB3B | ovens | no-price | "Series 4 Built-in double oven" | "Series 4 Built-in double oven"
bosch-mba533bs3b | Bosch | MBA533BS3B | ovens | 749 | "Series 4 Built-in double oven" | "Series 4 Built-in double oven"
bosch-mba578bs7b | Bosch | MBA578BS7B | ovens | 999 | "Series 6 Built-in double oven" | "Series 6 Built-in double oven"
bosch-mha133br0b | Bosch | MHA133BR0B | ovens | 599 | "Series 2 Built-in double oven" | "Series 2 Built-in double oven"
bosch-nbs533bb0b | Bosch | NBS533BB0B | ovens | 749 | "Series 4 Built-under double oven" | "Series 4 Built-under double oven"
bosch-nbs533bs0b | Bosch | NBS533BS0B | ovens | 749 | "Series 4 Built-under double oven" | "Series 4 Built-under double oven"
bosch-pbp6b2k60 | Bosch | PBP6B2K60 | hobs | 229 | "Series 2 Gas hob 60 cm Enamel, White" | "Series 2 Gas hob"
bosch-pbp6b5k60 | Bosch | PBP6B5K60 | hobs | 229 | "Series 2 Gas hob 60 cm Stainless steel" | "Series 2 Gas hob"
bosch-pbp6b6k60 | Bosch | PBP6B6K60 | hobs | 229 | "Series 2 Gas hob 60 cm Enamel, Black" | "Series 2 Gas hob"
bosch-pcp6a5i90 | Bosch | PCP6A5I90 | hobs | 349 | "Series 6 Gas hob 60 cm Stainless steel" | "Series 6 Gas hob"
bosch-pcp6a6i90 | Bosch | PCP6A6I90 | hobs | 349 | "Series 6 Gas hob 60 cm Enamel, Black" | "Series 6 Gas hob"
bosch-pcr9a5i90 | Bosch | PCR9A5I90 | hobs | no-price | "Series 6 Gas hob 90 cm Stainless steel" | "Series 6 Gas hob"
bosch-pgp6b5k90 | Bosch | PGP6B5K90 | hobs | 249 | "Series 4 Gas hob 60 cm Stainless steel" | "Series 4 Gas hob"
bosch-pie61abb5e | Bosch | PIE61ABB5E | hobs | no-price | "Series 4 Induction hob 60 cm Matt black" | "Series 4 Induction hob"
bosch-pie631bb5e | Bosch | PIE631BB5E | hobs | 499 | "Series 4 Induction hob 60 cm surface mount without frame" | "Series 4 Induction hob"
bosch-piv831hb1e | Bosch | PIV831HB1E | hobs | 899 | "Series 6 Induction hob 80 cm surface mount without frame" | "Series 6 Induction hob"
bosch-pix631hc1e | Bosch | PIX631HC1E | hobs | 549 | "Series 6 Induction hob 60 cm surface mount without frame" | "Series 6 Induction hob"
bosch-pke611ca3e | Bosch | PKE611CA3E | hobs | 249 | "Series 2 Electric hob 60 cm surface mount without frame" | "Series 2 Electric hob"
bosch-pke61raa8b | Bosch | PKE61RAA8B | hobs | 249 | "Series 2 Electric hob 60 cm surface mount without frame" | "Series 2 Electric hob"
bosch-pkh811bb1d | Bosch | PKH811BB1D | hobs | 449 | "Series 4 Electric hob 80 cm surface mount without frame" | "Series 4 Electric hob"
bosch-pnp6b6k40 | Bosch | PNP6B6K40 | hobs | 349 | "Series 4 Gas hob 60 cm Tempered glass, Black" | "Series 4 Gas hob"
bosch-ppm9a6i40 | Bosch | PPM9A6I40 | hobs | 699 | "Series 6 Gas hob 90 cm Tempered glass, Black" | "Series 6 Gas hob"
bosch-ppp6a6i40 | Bosch | PPP6A6I40 | hobs | no-price | "Series 6 Gas hob 60 cm Tempered glass, Black" | "Series 6 Gas hob"
bosch-pue611bb5b | Bosch | PUE611BB5B | hobs | no-price | "Series 4 Induction hob 60 cm surface mount without frame" | "Series 4 Induction hob"
bosch-pue611bb5e | Bosch | PUE611BB5E | hobs | no-price | "Series 4 Induction hob 60 cm surface mount without frame" | "Series 4 Induction hob"
bosch-pug61raa5b | Bosch | PUG61RAA5B | hobs | 329 | "Series 2 Induction hob 60 cm surface mount without frame" | "Series 2 Induction hob"
bosch-pvq731h26e | Bosch | PVQ731H26E | hobs | no-price | "Series 6 Induction hob with integrated ventilation system 70 cm surface mount without frame" | "Series 6 Induction hob with integrated ventilation system"
bosch-pvq81ah26e | Bosch | PVQ81AH26E | hobs | no-price | "Series 6 Induction hob with integrated ventilation system 80 cm Matt black" | "Series 6 Induction hob with integrated ventilation system"
bosch-pvs611b16e | Bosch | PVS611B16E | hobs | no-price | "Series 4 Induction hob with integrated ventilation system 60 cm surface mount without frame" | "Series 4 Induction hob with integrated ventilation system"
bosch-pvs811b16e | Bosch | PVS811B16E | hobs | no-price | "Series 4 Induction hob with integrated ventilation system 80 cm surface mount without frame" | "Series 4 Induction hob with integrated ventilation system"
bosch-pwp611bb5b | Bosch | PWP611BB5B | hobs | 379 | "Series 4 Induction hob 60 cm surface mount without frame" | "Series 4 Induction hob"
bosch-pxv831hc1e | Bosch | PXV831HC1E | hobs | 849 | "Series 6 Induction hob 80 cm surface mount without frame" | "Series 6 Induction hob"
bosch-pxx875d67e | Bosch | PXX875D67E | hobs | no-price | "Series 8 Induction hob with integrated ventilation system 80 cm surface mount with frame" | "Series 8 Induction hob with integrated ventilation system"
bosch-sbh4hvx14g | Bosch | SBH4HVX14G | integrated-dishwashers | no-price | "Series 4 Fully-integrated dishwasher 60 cm , Variable hinge" | "Series 4 Fully-integrated dishwasher"
bosch-smd6zcx61g | Bosch | SMD6ZCX61G | integrated-dishwashers | no-price | "Series 6 Fully-integrated dishwasher 60 cm" | "Series 6 Fully-integrated dishwasher"
bosch-smd8ycx03g | Bosch | SMD8YCX03G | integrated-dishwashers | 999 | "Series 8 Fully-integrated dishwasher 60 cm" | "Series 8 Fully-integrated dishwasher"
bosch-smh4htx11g | Bosch | SMH4HTX11G | integrated-dishwashers | 479 | "Series 4 Fully-integrated dishwasher 60 cm Variable hinge" | "Series 4 Fully-integrated dishwasher"
bosch-smh4hvx14g | Bosch | SMH4HVX14G | integrated-dishwashers | 579 | "Series 4 Fully-integrated dishwasher 60 cm Variable hinge" | "Series 4 Fully-integrated dishwasher"
bosch-smi2hts02g | Bosch | SMI2HTS02G | integrated-dishwashers | no-price | "Series 2 Semi-integrated dishwasher 60 cm Brushed steel" | "Series 2 Semi-integrated dishwasher"
bosch-smi2hts06g | Bosch | SMI2HTS06G | integrated-dishwashers | 599 | "Series 2 Semi-integrated dishwasher 60 cm Brushed steel" | "Series 2 Semi-integrated dishwasher"
bosch-sms26ai08g | Bosch | SMS26AI08G | freestanding-dishwashers | 419 | "Series 2 Free-standing dishwasher 60 cm Brushed steel anti-fingerprint" | "Series 2 Free-standing dishwasher"
bosch-sms26aw08g | Bosch | SMS26AW08G | freestanding-dishwashers | 399 | "Series 2 Free-standing dishwasher 60 cm White" | "Series 2 Free-standing dishwasher"
bosch-sms2hvi06g | Bosch | SMS2HVI06G | freestanding-dishwashers | 519 | "Series 2 Free-standing dishwasher 60 cm Brushed steel anti-fingerprint" | "Series 2 Free-standing dishwasher"
bosch-sms2hvw06g | Bosch | SMS2HVW06G | freestanding-dishwashers | 499 | "Series 2 Free-standing dishwasher 60 cm White" | "Series 2 Free-standing dishwasher"
bosch-sms4eki06g | Bosch | SMS4EKI06G | freestanding-dishwashers | 549 | "Series 4 Free-standing dishwasher 60 cm Brushed steel anti-fingerprint" | "Series 4 Free-standing dishwasher"
bosch-sms4ekw06g | Bosch | SMS4EKW06G | freestanding-dishwashers | 549 | "Series 4 Free-standing dishwasher 60 cm White" | "Series 4 Free-standing dishwasher"
bosch-sms4emi06g | Bosch | SMS4EMI06G | freestanding-dishwashers | 549 | "Series 4 Free-standing dishwasher 60 cm Brushed steel anti-fingerprint" | "Series 4 Free-standing dishwasher"
bosch-sms4emw06g | Bosch | SMS4EMW06G | freestanding-dishwashers | 549 | "Series 4 Free-standing dishwasher 60 cm White" | "Series 4 Free-standing dishwasher"
bosch-sms6tci02g | Bosch | SMS6TCI02G | freestanding-dishwashers | 899 | "Series 6 Free-standing dishwasher 60 cm Brushed steel anti-fingerprint" | "Series 6 Free-standing dishwasher"
bosch-sms6zci10g | Bosch | SMS6ZCI10G | freestanding-dishwashers | 799 | "Series 6 Free-standing dishwasher 60 cm Brushed steel anti-fingerprint" | "Series 6 Free-standing dishwasher"
bosch-sms6zcw10g | Bosch | SMS6ZCW10G | freestanding-dishwashers | 799 | "Series 6 Free-standing dishwasher 60 cm White" | "Series 6 Free-standing dishwasher"
bosch-smv2htx02g | Bosch | SMV2HTX02G | integrated-dishwashers | 449 | "Series 2 Fully-integrated dishwasher 60 cm" | "Series 2 Fully-integrated dishwasher"
bosch-smv4eax23g | Bosch | SMV4EAX23G | integrated-dishwashers | 649 | "Series 4 Fully-integrated dishwasher 60 cm" | "Series 4 Fully-integrated dishwasher"
bosch-smv4ecx23g | Bosch | SMV4ECX23G | integrated-dishwashers | 699 | "Series 4 Fully-integrated dishwasher 60 cm" | "Series 4 Fully-integrated dishwasher"
bosch-smv6zcx10g | Bosch | SMV6ZCX10G | integrated-dishwashers | no-price | "Series 6 Fully-integrated dishwasher 60 cm" | "Series 6 Fully-integrated dishwasher"
bosch-sps2ikw01g | Bosch | SPS2IKW01G | freestanding-dishwashers | 449 | "Series 2 Free-standing dishwasher 45 cm White" | "Series 2 Free-standing dishwasher"
bosch-sps4hmi14g | Bosch | SPS4HMI14G | freestanding-dishwashers | 549 | "Series 4 Free-standing dishwasher 45 cm Brushed steel anti-fingerprint" | "Series 4 Free-standing dishwasher"
bosch-sps4hmw14g | Bosch | SPS4HMW14G | freestanding-dishwashers | 549 | "Series 4 Free-standing dishwasher 45 cm White" | "Series 4 Free-standing dishwasher"
bosch-spv2hkx02g | Bosch | SPV2HKX02G | integrated-dishwashers | 499 | "Series 2 Fully-integrated dishwasher 45 cm" | "Series 2 Fully-integrated dishwasher"
bosch-spv2hkx42g | Bosch | SPV2HKX42G | integrated-dishwashers | 499 | "Series 2 Fully-integrated dishwasher 45 cm" | "Series 2 Fully-integrated dishwasher"
bosch-spv4emx17g | Bosch | SPV4EMX17G | integrated-dishwashers | 599 | "Series 4 Fully-integrated dishwasher 45 cm" | "Series 4 Fully-integrated dishwasher"
bosch-00085716 | Bosch | 00085716 | refrigeration-accessories | 10.09 | "Freezer ice pack" | "Freezer ice pack"
