# slug | brand | code | assigned_leaf | price | title | description
bosch-ktl15nweag | Bosch | KTL15NWEAG | fridges | 299 | "Series 2 Under counter fridge" | "Series 2 Under counter fridge"
bosch-ktr15nweag | Bosch | KTR15NWEAG | fridges | 299 | "Series 2 Under counter fridge" | "Series 2 Under counter fridge"
bosch-kul22vfd0g | Bosch | KUL22VFD0G | fridges | no-price | "Series 4 Built-under fridge with freezer section 82 x 59.8 cm flat hinge" | "Series 4 Built-under fridge with freezer section"
bosch-kur21vfe0g | Bosch | KUR21VFE0G | fridges | 579 | "Series 4 Built-under fridge 82 x 59.8 cm flat hinge" | "Series 4 Built-under fridge"
bosch-kuw20vhf0g | Bosch | KUW20VHF0G | wine-coolers | 899 | "Series 6 Built-in wine cooler 81.8 x 29.8 cm" | "Series 6 Built-in wine cooler"
bosch-kuw21ahg0g | Bosch | KUW21AHG0G | wine-coolers | 1399 | "Series 6 Built-in wine cooler 81.8 x 59.8 cm" | "Series 6 Built-in wine cooler"
bosch-00312295 | Bosch | 00312295 | bean-to-cup | 8.21 | "Cleaning tablets for coffee machines" | "Cleaning tablets for coffee machines"
bosch-00016229 | Bosch | 00016229 | kitchen-machine-accessories | 6.26 | "Chopping and mixing knife 4-wing blade, 51mm, stainless steel MUZ6MS4" | "Chopping and mixing knife 4-wing blade, 51mm, stainless steel"
bosch-00028140 | Bosch | 00028140 | kitchen-machine-accessories | 8.89 | "Replacement pierced disc" | "Replacement pierced disc"
bosch-00028143 | Bosch | 00028143 | kitchen-machine-accessories | 15.86 | "Replacement pierced disc" | "Replacement pierced disc"
bosch-00047960 | Bosch | 00047960 | kitchen-machine-accessories | 6.68 | "Disc-holes accessory Pierced disc" | "Disc-holes accessory Pierced disc"
bosch-00047962 | Bosch | 00047962 | kitchen-machine-accessories | 8.28 | "Disc-holes accessory Size 7, 3mm hole diameter" | "Disc-holes accessory Size 7, 3mm hole diameter"
bosch-00075151 | Bosch | 00075151 | kitchen-machine-accessories | 12.02 | "Fine creamer beaters twin whisks" | "Fine creamer beaters twin whisks"
bosch-00080060 | Bosch | 00080060 | kitchen-machine-accessories | 17.08 | "Kneading hook w/o dough deflector" | "Kneading hook w/o dough deflector"
bosch-00080159 | Bosch | 00080159 | kitchen-machine-accessories | 10.42 | "Disc-grater accessory" | "Disc-grater accessory"
bosch-00083576 | Bosch | 00083576 | kitchen-machine-accessories | 17.34 | "Cutting disc accessory" | "Cutting disc accessory"
bosch-00083577 | Bosch | 00083577 | kitchen-machine-accessories | 11.06 | "Disc-shredder accessory" | "Disc-shredder accessory"
bosch-00084747 | Bosch | 00084747 | kitchen-machine-accessories | 12.71 | "Disc-grater accessory Grating disc coarse Fits in Continuous Shredder MUZ4DS2 (461185)" | "Disc-grater accessory Grating disc coarse"
bosch-00084877 | Bosch | 00084877 | kitchen-machine-accessories | 14.15 | "Disc-grater accessory Grater disc (fine) for MUZ6DS3/ MUZ7DS1, MUZ6TS4/ MUZ7TS1" | "Disc-grater accessory Grater disc (fine)"
bosch-00086123 | Bosch | 00086123 | kitchen-machine-accessories | 27.74 | "Mixing beaker 1.4 Ltr" | "Mixing beaker 1.4 Ltr"
bosch-00088253 | Bosch | 00088253 | kitchen-machine-accessories | 7.07 | "Disc-grater accessory For kitchen machines" | "Disc-grater accessory For kitchen machines"
bosch-00088254 | Bosch | 00088254 | kitchen-machine-accessories | 18.12 | "Cutting disc accessory For kitchen machines" | "Cutting disc accessory For kitchen machines"
bosch-00096594 | Bosch | 00096594 | kitchen-machine-accessories | 32.58 | "Cutting disc accessory Cutting disc for food processors" | "Cutting disc accessory Cutting disc for food processors"
bosch-00260720 | Bosch | 00260720 | kitchen-machine-accessories | 8.84 | "Disc-shredder accessory" | "Disc-shredder accessory"
bosch-00460385 | Bosch | 00460385 | kitchen-machine-accessories | 22.7 | "Cutting disc accessory" | "Cutting disc accessory"
bosch-00461279 | Bosch | 00461279 | kitchen-machine-accessories | 89.51 | "Liquidizer-blender Versatile food processor bowl set with accessories Suitable for MUM46A1GB" | "Liquidizer-blender Versatile food processor bowl set with accessories"
bosch-00461345 | Bosch | 00461345 | kitchen-machine-accessories | 13.46 | "Citrus press suitable for MUM4" | "Citrus press suitable for MUM4"
bosch-00463689 | Bosch | 00463689 | kitchen-machine-accessories | 17.08 | "Asiatic vegetable disc" | "Asiatic vegetable disc"
bosch-00463716 | Bosch | 00463716 | kitchen-machine-accessories | 16.07 | "Coarse grating disc for food processors" | "Coarse grating disc for food processors"
bosch-00465691 | Bosch | 00465691 | kitchen-machine-accessories | 105.34 | "Meat mincer" | "00465691 | BOSCH GB"
bosch-00468742 | Bosch | 00468742 | kitchen-machine-accessories | 16.32 | "Cutting Disc For Food Processors" | "Cutting Disc For Food Processors"
bosch-00484121 | Bosch | 00484121 | kitchen-machine-accessories | 16.18 | "Disc-grater accessory fine" | "Disc-grater accessory fine"
bosch-00572476 | Bosch | 00572476 | kitchen-machine-accessories | 107.38 | "Liquidizer-blender" | "Liquidizer-blender"
bosch-00572477 | Bosch | 00572477 | kitchen-machine-accessories | 38.02 | "Blender attachment" | "Blender attachment"
bosch-00572478 | Bosch | 00572478 | kitchen-machine-accessories | 20.88 | "Citrus press" | "Citrus press"
bosch-00572479 | Bosch | 00572479 | kitchen-machine-accessories | 69.78 | "Meat mincer" | "Meat mincer"
bosch-00573022 | Bosch | 00573022 | kitchen-machine-accessories | 11.03 | "Coarse grating disc for food processors" | "Coarse grating disc for food processors"
bosch-00573023 | Bosch | 00573023 | kitchen-machine-accessories | 17.26 | "Chip cutting disc For MUM4... and MUM5... Kitchen machines" | "Chip cutting disc For MUM4... and MUM5... Kitchen machines"
bosch-00573025 | Bosch | 00573025 | kitchen-machine-accessories | 18.76 | "Asiatic vegetable disc" | "Asiatic vegetable disc"
bosch-00577188 | Bosch | 00577188 | kitchen-machine-accessories | 68.44 | "Universal cutter 1 x glass with storage lid, 1 x chopping /" | "Universal cutter 1 x glass with storage lid, 1 x chopping /"
bosch-00577491 | Bosch | 00577491 | kitchen-machine-accessories | 60.3 | "Continuous shredder for MUM5" | "Continuous shredder for MUM5"
bosch-00620950 | Bosch | 00620950 | kitchen-machine-accessories | 14.76 | "Replacement pierced disc" | "Replacement pierced disc"
bosch-00642221 | Bosch | 00642221 | kitchen-machine-accessories | 18.9 | "Cutting disc for food processors" | "Cutting disc for food processors"
bosch-00650541 | Bosch | 00650541 | kitchen-machine-accessories | 12.58 | "Mixing bowl for food processors" | "Mixing bowl for food processors"
bosch-00671377 | Bosch | 00671377 | kitchen-machine-accessories | 51.8 | "Blender attachment accessory" | "Blender attachment accessory"
bosch-00701104 | Bosch | 00701104 | kitchen-machine-accessories | 38.87 | "Blender attachment" | "Blender attachment"
bosch-11015943 | Bosch | 11015943 | kitchen-machine-accessories | 78.22 | "Mixing bowl replacment Stainless steel mixing bowl 5,5l,with handle" | "Mixing bowl replacment Stainless steel mixing bowl 5,5l,with handle"
bosch-17000928 | Bosch | 17000928 | kitchen-machine-accessories | 72.42 | "Stainless steel mixing bowl suitable for OptiMUM" | "Stainless steel mixing bowl suitable for OptiMUM"
bosch-mc812s734g | Bosch | MC812S734G | food-prep | 174.99 | "Food processor MultiTalent 8 1200 W White, Brushed stainless steel" | "Food processor MultiTalent 8"
bosch-mcm3100wgb | Bosch | MCM3100WGB | food-prep | 84.99 | "Food processor MultiTalent 3 700 W White, White" | "Food processor MultiTalent 3"
bosch-mcm3201bgb | Bosch | MCM3201BGB | food-prep | 99.99 | "Food processor MultiTalent 3 800 W Black, Black" | "Food processor MultiTalent 3"
bosch-mcm3501mgb | Bosch | MCM3501MGB | food-prep | 79.99 | "Food processor MultiTalent 3 800 W Black, Brushed stainless steel" | "Food processor MultiTalent 3"
bosch-mum58259gb | Bosch | MUM58259GB | food-prep | 299.99 | "Series 4 Stand mixer MUM 5 1000 W White, Silver" | "Series 4 Stand mixer MUM 5"
bosch-mum58w20gb | Bosch | MUM58W20GB | food-prep | no-price | "Series 4 Stand mixer MUM 5 1000 W White, Silver" | "Series 4 Stand mixer MUM 5"
bosch-mum59340gb | Bosch | MUM59340GB | food-prep | no-price | "Series 4 Stand mixer MUM 5 1000 W Silver, Anthracite" | "Series 4 Stand mixer MUM 5"
bosch-mum5xw40g | Bosch | MUM5XW40G | food-prep | 299.99 | "Series 4 Stand mixer with scale MUM 5 1000 W White" | "Series 4 Stand mixer with scale MUM 5"
bosch-mum5xw49gb | Bosch | MUM5XW49GB | food-prep | 449.99 | "Series 4 Stand mixer with scale MUM 5 1000 W White" | "Series 4 Stand mixer with scale MUM 5"
bosch-mums2vm40g | Bosch | MUMS2VM40G | food-prep | 199.99 | "Series 2 Stand mixer MUM 900 W Black, Silver" | "Series 2 Stand mixer MUM"
bosch-mums6zm00g | Bosch | MUMS6ZM00G | food-prep | 599.99 | "Series 6 Stand mixer with scale 1600 W Black, Brushed stainless steel" | "Series 6 Stand mixer with scale"
bosch-muz5eb2 | Bosch | MUZ5EB2 | kitchen-machine-accessories | 56.99 | "Ice cream maker" | "Ice cream maker"
bosch-muz5er2 | Bosch | MUZ5ER2 | kitchen-machine-accessories | no-price | "Stainless steel mixing bowl" | "Stainless steel mixing bowl"
bosch-muz5pp1 | Bosch | MUZ5PP1 | kitchen-machine-accessories | no-price | "PastaPassion Set" | "PastaPassion Set"
bosch-muz9kr1 | Bosch | MUZ9KR1 | kitchen-machine-accessories | no-price | "Plastic mixing bowl" | "Plastic mixing bowl"
bosch-muz9vlp1 | Bosch | MUZ9VLP1 | kitchen-machine-accessories | no-price | "VeggieLove Plus Set" | "VeggieLove Plus Set"
bosch-00244024 | Bosch | 00244024 | laundry-accessories | 27.38 | "Connection set" | "Connection set"
bosch-00244044 | Bosch | 00244044 | laundry-accessories | 115.97 | "Stacking Kit & Pull-out Shelf" | "Stacking Kit & Pull-out Shelf"
bosch-00461036 | Bosch | 00461036 | laundry-accessories | 17.11 | "Washing Nets" | "Washing Nets"
bosch-00472560 | Bosch | 00472560 | laundry-accessories | 37.64 | "Built-under kit For washing machines" | "Built-under kit For washing machines"
bosch-00478026 | Bosch | 00478026 | laundry-accessories | 33.2 | "Built-under kit For Washing machines" | "Built-under kit For Washing machines"
bosch-00493529 | Bosch | 00493529 | laundry-accessories | 24.34 | "Fixing Kit" | "Fixing Kit"
bosch-00574010 | Bosch | 00574010 | laundry-accessories | 119.33 | "Stacking kit with pull-out shelf" | "Stacking kit with pull-out shelf"
bosch-00576101 | Bosch | 00576101 | laundry-accessories | 25.38 | "Connection set" | "Connection set"
bosch-00647920 | Bosch | 00647920 | laundry-accessories | 14.46 | "Fluff Filter for Dryers" | "Fluff Filter for Dryers"
bosch-00650474 | Bosch | 00650474 | laundry-accessories | 49.76 | "Filter-fluff" | "Filter-fluff"
bosch-00652184 | Bosch | 00652184 | laundry-accessories | 15.94 | "Fluff Filter for Tumble Dryers" | "Fluff Filter for Tumble Dryers"
bosch-00670752 | Bosch | 00670752 | laundry-accessories | 56.26 | "Exhaust air hose For Tumble Dryers" | "Exhaust air hose For Tumble Dryers"
bosch-00684998 | Bosch | 00684998 | laundry-accessories | 22.42 | "Connection set" | "Connection set"
