# slug | brand | code | assigned_leaf | price | title | description
bosch-msm6b150 | Bosch | MSM6B150 | blenders | no-price | "Hand blender 300 W White, Grey" | "Hand blender"
bosch-msm6b150gb | Bosch | MSM6B150GB | blenders | 19.99 | "Hand blender 300 W White, Grey" | "Hand blender"
bosch-tat2m121gb | Bosch | TAT2M121GB | toasters | 34.99 | "Compact toaster MyMoment White" | "Compact toaster MyMoment"
bosch-tat2m123gb | Bosch | TAT2M123GB | toasters | 34.99 | "Compact toaster MyMoment Black" | "Compact toaster MyMoment"
bosch-tat2m127gb | Bosch | TAT2M127GB | toasters | 34.99 | "Compact toaster MyMoment Beige" | "Compact toaster MyMoment"
bosch-tat3m123gb | Bosch | TAT3M123GB | toasters | 34.99 | "Compact toaster MyMoment Black" | "Compact toaster MyMoment"
bosch-tat3m127gb | Bosch | TAT3M127GB | toasters | 34.99 | "Compact toaster MyMoment Beige" | "Compact toaster MyMoment"
bosch-tat3m141gb | Bosch | TAT3M141GB | toasters | 29.99 | "Toaster MyMoment White" | "Toaster MyMoment"
bosch-tat3m143gb | Bosch | TAT3M143GB | toasters | 44.99 | "Toaster MyMoment Black" | "Toaster MyMoment"
bosch-tat3m147gb | Bosch | TAT3M147GB | toasters | 44.99 | "Toaster MyMoment Beige" | "Toaster MyMoment"
bosch-tat3p420gb | Bosch | TAT3P420GB | toasters | 34.99 | "Compact toaster DesignLine Stainless steel" | "Compact toaster DesignLine"
bosch-tat3p421gb | Bosch | TAT3P421GB | toasters | 39.99 | "Compact toaster DesignLine White" | "Compact toaster DesignLine"
bosch-tat3p423gb | Bosch | TAT3P423GB | toasters | 39.99 | "Compact toaster DesignLine Black" | "Compact toaster DesignLine"
bosch-tat4m223gb | Bosch | TAT4M223GB | toasters | 39.99 | "Compact toaster MyMoment Black" | "Compact toaster MyMoment"
bosch-tat4m227gb | Bosch | TAT4M227GB | toasters | 39.99 | "Compact toaster MyMoment Beige" | "Compact toaster MyMoment"
bosch-tat4m243gb | Bosch | TAT4M243GB | toasters | 59.99 | "Toaster MyMoment Black" | "Toaster MyMoment"
bosch-tat4m247gb | Bosch | TAT4M247GB | toasters | 59.99 | "Toaster MyMoment Beige" | "Toaster MyMoment"
bosch-tat4p440gb | Bosch | TAT4P440GB | toasters | 49.99 | "Toaster DesignLine Stainless steel" | "Toaster DesignLine"
bosch-tat4p447gb | Bosch | TAT4P447GB | toasters | 59.99 | "Toaster DesignLine Beige" | "Toaster DesignLine"
bosch-tat4p449gb | Bosch | TAT4P449GB | toasters | 44.99 | "Toaster DesignLine Copper" | "Toaster DesignLine"
bosch-tat5p441gb | Bosch | TAT5P441GB | toasters | 69.99 | "Toaster DesignLine White" | "Toaster DesignLine"
bosch-tat5p445gb | Bosch | TAT5P445GB | toasters | 59.99 | "Toaster DesignLine Graphite" | "Toaster DesignLine"
bosch-tat7201gb | Bosch | TAT7201GB | toasters | 84.99 | "Compact toaster Stainless steel" | "Compact toaster"
bosch-tat7203gb | Bosch | TAT7203GB | toasters | 84.99 | "Compact toaster Stainless steel" | "Compact toaster"
bosch-tat7s23gb | Bosch | TAT7S23GB | toasters | 59.99 | "Compact toaster Stainless steel" | "Compact toaster"
bosch-tat7s43gb | Bosch | TAT7S43GB | toasters | 79.99 | "Toaster Stainless steel" | "Toaster"
bosch-tat7s44gb | Bosch | TAT7S44GB | toasters | 79.99 | "Toaster Red" | "Toaster"
bosch-tat7s45gb | Bosch | TAT7S45GB | toasters | 79.99 | "Toaster Graphite" | "Toaster"
bosch-tat8611ngb | Bosch | TAT8611NGB | toasters | 59.99 | "Compact toaster Styline White" | "Compact toaster Styline"
bosch-tat8613ngb | Bosch | TAT8613NGB | toasters | 84.99 | "Compact toaster Styline Black" | "Compact toaster Styline"
bosch-twk1m121gb | Bosch | TWK1M121GB | kettles | 34.99 | "Kettle MyMoment White" | "Kettle MyMoment"
bosch-twk1m123gb | Bosch | TWK1M123GB | kettles | 34.99 | "Kettle MyMoment Black" | "Kettle MyMoment"
bosch-twk1m127gb | Bosch | TWK1M127GB | kettles | 34.99 | "Kettle MyMoment Beige" | "Kettle MyMoment"
bosch-twk2m161gb | Bosch | TWK2M161GB | kettles | 34.99 | "Kettle MyMoment White" | "Kettle MyMoment"
bosch-twk2m163gb | Bosch | TWK2M163GB | kettles | 34.99 | "Kettle MyMoment Black" | "Kettle MyMoment"
bosch-twk3m123gb | Bosch | TWK3M123GB | kettles | 34.99 | "Kettle MyMoment Black" | "Kettle MyMoment"
bosch-twk3m127gb | Bosch | TWK3M127GB | kettles | 34.99 | "Kettle MyMoment Beige" | "Kettle MyMoment"
bosch-twk3p420gb | Bosch | TWK3P420GB | kettles | 34.99 | "Kettle DesignLine Stainless steel" | "Kettle DesignLine"
bosch-twk3p421gb | Bosch | TWK3P421GB | kettles | 29.99 | "Kettle DesignLine White" | "Kettle DesignLine"
bosch-twk3p423gb | Bosch | TWK3P423GB | kettles | 39.99 | "Kettle DesignLine Black" | "Kettle DesignLine"
bosch-twk4m223gb | Bosch | TWK4M223GB | kettles | 39.99 | "Kettle MyMoment Black" | "Kettle MyMoment"
bosch-twk4m227gb | Bosch | TWK4M227GB | kettles | 39.99 | "Kettle MyMoment Beige" | "Kettle MyMoment"
bosch-twk4p437gb | Bosch | TWK4P437GB | kettles | 49.99 | "Kettle DesignLine Beige" | "Kettle DesignLine"
bosch-twk4p439gb | Bosch | TWK4P439GB | kettles | 34.99 | "Kettle DesignLine Copper" | "Kettle DesignLine"
bosch-twk4p440gb | Bosch | TWK4P440GB | kettles | 49.99 | "Kettle DesignLine Stainless steel" | "Kettle DesignLine"
bosch-twk5p471gb | Bosch | TWK5P471GB | kettles | 59.99 | "Kettle DesignLine White" | "Kettle DesignLine"
bosch-twk5p475gb | Bosch | TWK5P475GB | kettles | 49.99 | "Kettle DesignLine Graphite" | "Kettle DesignLine"
bosch-twk5p480gb | Bosch | TWK5P480GB | kettles | 59.99 | "Kettle DesignLine Stainless steel" | "Kettle DesignLine"
bosch-twk7201gb | Bosch | TWK7201GB | kettles | 104.99 | "Kettle Sky Stainless steel" | "Kettle Sky"
bosch-twk7203gb | Bosch | TWK7203GB | kettles | no-price | "Kettle Sky Stainless steel" | "Kettle Sky"
bosch-twk7s03gb | Bosch | TWK7S03GB | kettles | 79.99 | "Kettle Stainless steel" | "Kettle"
bosch-twk7s04gb | Bosch | TWK7S04GB | kettles | 79.99 | "Kettle Silicone Red Red" | "Kettle Silicone Red"
bosch-twk7s05gb | Bosch | TWK7S05GB | kettles | 79.99 | "Kettle Silicone Graphite Graphite" | "Kettle Silicone Graphite"
bosch-twk8631gb | Bosch | TWK8631GB | kettles | 59.99 | "Kettle Styline White" | "Kettle Styline"
bosch-twk8633gb | Bosch | TWK8633GB | kettles | 84.99 | "Kettle Styline Black" | "Kettle Styline"
bosch-00054781 | Bosch | 00054781 | vacuum-accessories | 3.64 | "Motor protective filter" | "Motor protective filter"
bosch-00055235 | Bosch | 00055235 | vacuum-accessories | 4.04 | "Motor protective filter Z.fan" | "Motor protective filter Z.fan"
bosch-00461505 | Bosch | 00461505 | vacuum-accessories | 48.46 | "Turbo brush" | "Turbo brush"
bosch-00465031 | Bosch | 00465031 | vacuum-accessories | 16.43 | "Hard floor nozzle Floor nozzle for vacuum cleaners" | "Hard floor nozzle Floor nozzle for vacuum cleaners"
bosch-00495701 | Bosch | 00495701 | vacuum-accessories | 7.54 | "Vacuum Cleaner Bag Holder" | "Vacuum Cleaner Bag Holder"
bosch-00575625 | Bosch | 00575625 | vacuum-accessories | 58.9 | "ProAnimal Turbo brush head for vaccum cleaners" | "ProAnimal Turbo brush head for vaccum cleaners"
bosch-00576474 | Bosch | 00576474 | vacuum-accessories | no-price | "Bionic filter Bionic filter" | "Bionic filter Bionic filter"
bosch-00577281 | Bosch | 00577281 | vacuum-accessories | 23.5 | "Vacuum filter" | "Vacuum filter"
bosch-00577549 | Bosch | 00577549 | vacuum-accessories | 15.26 | "PowerProtect dustbag" | "PowerProtect dustbag"
bosch-00577592 | Bosch | 00577592 | vacuum-accessories | 63.55 | "White Electro Brush for Athlet Vacuum Cleaners" | "White Electro Brush for Athlet Vacuum Cleaners"
bosch-00577596 | Bosch | 00577596 | vacuum-accessories | 59.6 | "Electric nozzle Base color: silver" | "Electric nozzle Base color: silver"
bosch-00577723 | Bosch | 00577723 | vacuum-accessories | 62.42 | "Electric nozzle" | "Electric nozzle"
