# slug | brand | code | assigned_leaf | price | title | description
neff-00057874 | Neff | 00057874 | cooking-accessories | 10.66 | "Oven Bulb - E14, 40W" | "Oven Bulb - E14, 40W"
neff-00093046 | Neff | 00093046 | dishwasher-accessories | 17.57 | "Cutlery Basket" | "Cutlery Basket"
neff-00114537 | Neff | 00114537 | cooking-accessories | 54.29 | "Small Glass Tray" | "Small Glass Tray"
neff-00146450 | Neff | 00146450 | cooker-hood-accessories | 997.86 | "Long Life odor filter (replacement) 3 pcs" | "Long Life odor filter (replacement) 3 pcs"
neff-00157311 | Neff | 00157311 | cooking-accessories | 16.06 | "Halogen Oven Lamp – G4, 10W" | "Halogen Oven Lamp – G4, 10W"
neff-00159645 | Neff | 00159645 | refrigeration-accessories | 6.94 | "Lamp for refrigerators" | "Lamp for refrigerators"
neff-00165737 | Neff | 00165737 | dishwasher-accessories | 23.58 | "Mounting Set for Dishwashers" | "Mounting Set for Dishwashers"
neff-00174136 | Neff | 00174136 | cooking-accessories | 19.84 | "Halogen lamp" | "Halogen lamp"
neff-00187384 | Neff | 00187384 | cooking-accessories | 20.47 | "Glass Light Cover" | "Glass Light Cover"
neff-00209416 | Neff | 00209416 | cooking-accessories | 14.54 | "Wire Shelf Insert" | "Wire Shelf Insert"
neff-00271068 | Neff | 00271068 | cooker-hood-accessories | 140.26 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00284723 | Neff | 00284723 | cooking-accessories | 37.33 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00284913 | Neff | 00284913 | cooking-accessories | 22.97 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00291050 | Neff | 00291050 | hob-accessories | 62.09 | "Lava Stones" | "Lava Stones"
neff-00296173 | Neff | 00296173 | cooker-hood-accessories | 46.36 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00296178 | Neff | 00296178 | cooker-hood-accessories | 40.9 | "Standard odor filter" | "Standard odor filter"
neff-00298619 | Neff | 00298619 | cooker-hood-accessories | 52.8 | "Metal-mesh Grease Filter Replacement: 2-Pack" | "Metal-mesh Grease Filter Replacement: 2-Pack"
neff-00299600 | Neff | 00299600 | cooker-hood-accessories | 38.27 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00350564 | Neff | 00350564 | dishwasher-accessories | 44.77 | "Aqua Stop Extension & Drain Hose" | "Aqua Stop Extension & Drain Hose"
neff-00350824 | Neff | 00350824 | cooker-hood-accessories | 82.19 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00351210 | Neff | 00351210 | cooker-hood-accessories | 53.18 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00352953 | Neff | 00352953 | cooker-hood-accessories | 61.55 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00353110 | Neff | 00353110 | cooker-hood-accessories | 33.16 | "Metal-Mesh Grease Filter" | "Metal-Mesh Grease Filter"
neff-00353121 | Neff | 00353121 | cooker-hood-accessories | 37.74 | "Standard Odour Filter" | "Standard Odour Filter"
neff-00354434 | Neff | 00354434 | cooker-hood-accessories | 67.06 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00360732 | Neff | 00360732 | cooker-hood-accessories | 44.22 | "Standard Odour Filter" | "Standard Odour Filter"
neff-00361047 | Neff | 00361047 | cooker-hood-accessories | 49.27 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00423712 | Neff | 00423712 | dishwasher-accessories | 6.67 | "Dishwasher Clips" | "Dishwasher Clips"
neff-00432377 | Neff | 00432377 | dishwasher-accessories | 13 | "Anti-Tarnish Silverware Basket" | "Anti-Tarnish Silverware Basket"
neff-00434229 | Neff | 00434229 | cooker-hood-accessories | 50.74 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00434281 | Neff | 00434281 | cooker-hood-accessories | 26.02 | "Handle-strip for Extractor Hoods" | "Handle-strip for Extractor Hoods"
