# slug | brand | code | assigned_leaf | price | title | description
neff-00577170 | Neff | 00577170 | cooking-accessories | 27 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00577538 | Neff | 00577538 | cooking-accessories | 305.27 | "Telescopic Rails (3 Levels)" | "Telescopic Rails (3 Levels)"
neff-00577552 | Neff | 00577552 | cooking-accessories | 25.62 | "Small stainless steel cooking dish" | "Small stainless steel cooking dish"
neff-00577553 | Neff | 00577553 | cooking-accessories | 47.45 | "Small stainless steel cooking dish" | "Small stainless steel cooking dish"
neff-00577584 | Neff | 00577584 | cooking-accessories | 41.66 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00577715 | Neff | 00577715 | cooking-accessories | 50.69 | "Grill Tray - Black Enamel" | "Grill Tray - Black Enamel"
neff-00577718 | Neff | 00577718 | cooking-accessories | 78.56 | "Baking Tray Lid" | "Baking Tray Lid"
neff-00579534 | Neff | 00579534 | cooking-accessories | 146.22 | "Large Grill Set (includes spit and skewers)" | "Large Grill Set (includes spit and skewers)"
neff-00612653 | Neff | 00612653 | dishwasher-accessories | 10.56 | "Fixing kit Toe kick mounting brackets (2 pcs) w/ screws, screw caps (set)" | "Fixing kit Toe kick mounting brackets (2 pcs) w/ screws, screw caps (set)"
neff-00613634 | Neff | 00613634 | cooking-accessories | 5.36 | "Bulb Cover Removal Tool" | "Bulb Cover Removal Tool"
neff-00613655 | Neff | 00613655 | cooking-accessories | 14.16 | "Oven Bulb E14, 40W and Removal Tool Pack" | "Oven Bulb E14, 40W and Removal Tool Pack"
neff-00614176 | Neff | 00614176 | hob-accessories | 61.74 | "Control Knob" | "Control Knob"
neff-00622456 | Neff | 00622456 | dishwasher-accessories | 11 | "Fixing kit left and right fixing bracket + screws" | "Fixing kit left and right fixing bracket + screws"
neff-00640565 | Neff | 00640565 | refrigeration-accessories | 53.24 | "Internal Water Filter" | "Internal Water Filter"
neff-00646179 | Neff | 00646179 | dishwasher-accessories | 24.46 | "Anti-Tarnish Silverware Cutlery Basket" | "Anti-Tarnish Silverware Cutlery Basket"
neff-00647277 | Neff | 00647277 | cooker-hood-accessories | 32.51 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00647309 | Neff | 00647309 | cooking-accessories | 19.26 | "Oven Lamp Glass Cover with Removal Tool" | "Oven Lamp Glass Cover with Removal Tool"
neff-00648174 | Neff | 00648174 | dishwasher-accessories | 180.49 | "Installation accessory For dishwashers" | "Installation accessory For dishwashers"
neff-00648721 | Neff | 00648721 | refrigeration-accessories | 38.62 | "Refridgerator Bottle Shelf" | "Refridgerator Bottle Shelf"
neff-00664949 | Neff | 00664949 | cooking-accessories | 27.52 | "Cooking dish GN Solid Gastronorm shallow tray for steam ovens" | "Cooking dish GN Solid Gastronorm shallow tray for steam ovens"
neff-00664959 | Neff | 00664959 | cooking-accessories | 32.39 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00666902 | Neff | 00666902 | cooking-accessories | 21.28 | "Enamel Baking Tray" | "Enamel Baking Tray"
neff-00668361 | Neff | 00668361 | dishwasher-accessories | 34.81 | "Cutlery Basket" | "Cutlery Basket"
neff-00670481 | Neff | 00670481 | dishwasher-accessories | 73.24 | "Glass Basket" | "Glass Basket"
neff-00671612 | Neff | 00671612 | dishwasher-accessories | 23.75 | "Aquastop extension" | "Aquastop extension"
neff-00674916 | Neff | 00674916 | hob-accessories | 117.8 | "Connection Piece" | "Connection Piece"
neff-00674917 | Neff | 00674917 | cooking-accessories | 94.5 | "Hob Connecting Strips" | "Hob Connecting Strips"
neff-00680616 | Neff | 00680616 | cooking-accessories | 53.12 | "Extra Deep Universal Pan" | "Extra Deep Universal Pan"
neff-00681729 | Neff | 00681729 | dishwasher-accessories | 266.56 | "Outer-door stainless steel dishwasher panel" | "Outer-door stainless steel dishwasher panel"
neff-00701456 | Neff | 00701456 | cooking-accessories | 36.8 | "Cooking container Gastronorm 2/3, with perforated lines, 28mm deep" | "Cooking container Gastronorm 2/3, with perforated lines, 28mm deep"
neff-00703451 | Neff | 00703451 | cooker-hood-accessories | 30.32 | "Metal-Mesh Grease Filter" | "Metal-Mesh Grease Filter"
neff-00703928 | Neff | 00703928 | cooker-hood-accessories | 133.78 | "Active Carbon Filter" | "Active Carbon Filter"
neff-00704255 | Neff | 00704255 | cooker-hood-accessories | 145.26 | "Chimney Extension: 750mm" | "Chimney Extension: 750mm"
neff-00704256 | Neff | 00704256 | cooker-hood-accessories | 105.22 | "Chimney Extension: 500mm" | "Chimney Extension: 500mm"
neff-00704532 | Neff | 00704532 | cooker-hood-accessories | 418.34 | "Chimney Extension: 1600mm" | "Chimney Extension: 1600mm"
