# slug | brand | code | assigned_leaf | price | title | description
neff-17007637 | Neff | 17007637 | cooking-accessories | 103.85 | "Telescopic rails 1 level Full ext rails, level independent, steam" | "Telescopic rails 1 level Full ext rails, level independent, steam"
neff-17007638 | Neff | 17007638 | cooking-accessories | 135.17 | "Telescopic rails 1 level Full ext rails, level independent, pyro" | "Telescopic rails 1 level Full ext rails, level independent, pyro"
neff-17007753 | Neff | 17007753 | hob-accessories | 115.96 | "Clean Air Plus recirculation kit Starter kit unducted recirculation (Plug 'n Play)" | "Clean Air Plus recirculation kit Starter kit unducted recirculation (Plug 'n Play)"
neff-17007754 | Neff | 17007754 | hob-accessories | 111.73 | "Clean Air Plus recirculation kit Basic kit (partly-)ducted recirculation Diffusor,tape and odor filter" | "Clean Air Plus recirculation kit Basic kit (partly-)ducted recirculation"
neff-17007770 | Neff | 17007770 | cooking-accessories | 51.9 | "Air Fry & Grill tray" | "Air Fry & Grill tray"
neff-17007819 | Neff | 17007819 | hob-accessories | 56.06 | "TwistPad color variant Twist Pad Flex©, Anthracite grey Stator code: 17008718" | "TwistPad color variant Twist Pad Flex©, Anthracite grey"
neff-17007820 | Neff | 17007820 | hob-accessories | 56.06 | "TwistPad color variant Twist Pad Flex©, Brushed bronze Stator code: 17008718" | "TwistPad color variant Twist Pad Flex©, Brushed bronze"
neff-17007821 | Neff | 17007821 | hob-accessories | 56.06 | "TwistPad color variant Twist Pad Flex©, Deep black Stator code: 17008718" | "TwistPad color variant Twist Pad Flex©, Deep black"
neff-17007822 | Neff | 17007822 | hob-accessories | 56.06 | "TwistPad color variant Twist Pad Flex©, Metallic silver Stator code: 17008718" | "TwistPad color variant Twist Pad Flex©, Metallic silver"
neff-17007846 | Neff | 17007846 | refrigeration-accessories | 22.12 | "Ethylene Absorber Set for Freestanding Fridges" | "Ethylene Absorber Set for Freestanding Fridges"
neff-17008137 | Neff | 17008137 | kitchen-utensils | 145.84 | "Wireless Meat Probe" | "Wireless Meat Probe"
neff-17008138 | Neff | 17008138 | cooker-hood-accessories | 961.04 | "Long Life odor filter" | "Long Life odor filter"
neff-17008311 | Neff | 17008311 | dishwasher-accessories | 35.1 | "Filter-micro" | "Filter-micro"
neff-00311896 | Neff | 00311896 | cleaning-products | 10.18 | "Ceramic & Induction Hob Cleaner 250ml" | "Ceramic & Induction Hob Cleaner 250ml"
neff-00311900 | Neff | 00311900 | cleaning-products | 14.72 | "Maintenance pack for ceramic glass and induction hobs" | "Maintenance pack for ceramic glass and induction hobs"
neff-00311925 | Neff | 00311925 | cleaning-products | 8.24 | "Washing Machine Cleaner" | "Washing Machine Cleaner"
neff-00311945 | Neff | 00311945 | cleaning-products | 10.82 | "Conditioning Oil: Stainless Steel Surfaces" | "Conditioning Oil: Stainless Steel Surfaces"
