# slug | brand | code | assigned_leaf | price | title | description
neff-ki5871se0g | Neff | KI5871SE0G | fridge-freezers | 699 | "N 30 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm sliding hinge" | "N 30 Built-in fridge-freezer with freezer at bottom"
neff-ki7851fe0g | Neff | KI7851FE0G | fridge-freezers | 779 | "N 30 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm flat hinge" | "N 30 Built-in fridge-freezer with freezer at bottom"
neff-ki7851se0g | Neff | KI7851SE0G | fridge-freezers | 749 | "N 30 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm sliding hinge" | "N 30 Built-in fridge-freezer with freezer at bottom"
neff-ki7861fe0g | Neff | KI7861FE0G | fridge-freezers | 779 | "N 30 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm flat hinge" | "N 30 Built-in fridge-freezer with freezer at bottom"
neff-ki7861se0g | Neff | KI7861SE0G | fridge-freezers | no-price | "N 30 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm sliding hinge" | "N 30 Built-in fridge-freezer with freezer at bottom"
neff-ki7962fd0g | Neff | KI7962FD0G | fridge-freezers | 949 | "N 50 Built-in fridge-freezer with freezer at bottom 193.5 x 55.8 cm flat hinge" | "N 50 Built-in fridge-freezer with freezer at bottom"
neff-ku1212fe0g | Neff | KU1212FE0G | fridges | 579 | "N 50 Built-under fridge 82 x 59.8 cm flat hinge" | "N 50 Built-under fridge"
neff-ku9202hf0g | Neff | KU9202HF0G | wine-coolers | 899 | "N 70 Built-in wine cooler 81.8 x 29.8 cm" | "N 70 Built-in wine cooler"
neff-ku9213hg0g | Neff | KU9213HG0G | wine-coolers | 1399 | "N 70 Built-in wine cooler 81.8 x 59.8 cm" | "N 70 Built-in wine cooler"
neff-t16nbe1l | Neff | T16NBE1L | hobs | 269 | "N 50 Electric hob 60 cm surface mount without frame" | "N 50 Electric hob"
neff-t26cih8n0 | Neff | T26CIH8N0 | hobs | 379 | "N 70 Gas hob 60 cm Stainless steel" | "N 70 Gas hob"
neff-t26cip8n0 | Neff | T26CIP8N0 | hobs | 349 | "N 70 Gas hob 60 cm Stainless steel" | "N 70 Gas hob"
neff-t26cip8s0 | Neff | T26CIP8S0 | hobs | 349 | "N 70 Gas hob 60 cm Enamel, Black" | "N 70 Gas hob"
neff-t26gkh8n0 | Neff | T26GKH8N0 | hobs | 269 | "N 50 Gas hob 60 cm Stainless steel" | "N 50 Gas hob"
neff-t26pip4s0 | Neff | T26PIP4S0 | hobs | 399 | "N 70 Gas hob 60 cm Tempered glass, Black" | "N 70 Gas hob"
neff-t27ciq8n0 | Neff | T27CIQ8N0 | hobs | 499 | "N 70 Gas hob 75 cm Stainless steel" | "N 70 Gas hob"
neff-t27ciq8s0 | Neff | T27CIQ8S0 | hobs | 499 | "N 70 Gas hob 75 cm Enamel, Black" | "N 70 Gas hob"
neff-t27cis8n0 | Neff | T27CIS8N0 | hobs | 499 | "N 70 Gas hob 75 cm Stainless steel" | "N 70 Gas hob"
neff-t27piq4s0 | Neff | T27PIQ4S0 | hobs | 499 | "N 70 Gas hob 75 cm Tempered glass, Black" | "N 70 Gas hob"
neff-t29cir8n0 | Neff | T29CIR8N0 | hobs | 599 | "N 70 Gas hob 90 cm Stainless steel" | "N 70 Gas hob"
neff-t29rhs4s0 | Neff | T29RHS4S0 | hobs | 899 | "N 90 Gas hob 90 cm Tempered glass, Black" | "N 90 Gas hob"
neff-t36ca50x1u | Neff | T36CA50X1U | hobs | 349 | "N 30 Induction hob 60 cm Black" | "N 30 Induction hob"
neff-t36fbe1l0 | Neff | T36FBE1L0 | hobs | 399 | "N 30 Induction hob 60 cm surface mount without frame" | "N 30 Induction hob"
neff-t56fhs1l0 | Neff | T56FHS1L0 | hobs | 549 | "N 70 Induction hob 60 cm surface mount without frame" | "N 70 Induction hob"
neff-t58fhw1l0 | Neff | T58FHW1L0 | hobs | 849 | "N 70 Induction hob 80 cm surface mount without frame" | "N 70 Induction hob"
neff-t66fhe4l0 | Neff | T66FHE4L0 | hobs | 649 | "N 70 Induction hob 60 cm surface mount without frame" | "N 70 Induction hob"
neff-t66fhx4l0 | Neff | T66FHX4L0 | hobs | 699 | "N 70 Induction hob 60 cm surface mount without frame" | "N 70 Induction hob"
neff-t66nux4a0 | Neff | T66NUX4A0 | hobs | 799 | "N 90 Induction hob 60 cm Matt black" | "N 90 Induction hob"
neff-t68fhv4l0 | Neff | T68FHV4L0 | hobs | 899 | "N 70 Induction hob 80 cm surface mount without frame" | "N 70 Induction hob"
neff-t68fuv4l0 | Neff | T68FUV4L0 | hobs | 999 | "N 90 Induction hob 80 cm surface mount without frame" | "N 90 Induction hob"
neff-t68nuv4a0 | Neff | T68NUV4A0 | hobs | 1049 | "N 90 Induction hob 80 cm Matt black" | "N 90 Induction hob"
neff-t69fuv4l0 | Neff | T69FUV4L0 | hobs | 1149 | "N 90 Induction hob 90 cm surface mount without frame" | "N 90 Induction hob"
neff-v58nbs1l0 | Neff | V58NBS1L0 | hobs | 1899 | "N 50 Induction hob with integrated ventilation system 80 cm surface mount without frame" | "N 50 Induction hob with integrated ventilation system"
neff-v58nhq4l0 | Neff | V58NHQ4L0 | hobs | 1999 | "N 70 Induction hob with integrated ventilation system 80 cm surface mount without frame" | "N 70 Induction hob with integrated ventilation system"
neff-v68fux4l0 | Neff | V68FUX4L0 | hobs | 2599 | "N 90 Induction hob with integrated ventilation system 80 cm surface mount without frame" | "N 90 Induction hob with integrated ventilation system"
neff-v8540x0gb | Neff | V8540X0GB | washer-dryers | 999 | "Washer dryer 8/5 kg" | "Washer dryer"
neff-w543bx2gb | Neff | W543BX2GB | washing-machines | no-price | "Built-in washing machine 8 kg max. 1400 rpm" | "Built-in washing machine"
neff-w544bx2gb | Neff | W544BX2GB | washing-machines | 799 | "Built-in washing machine 8 kg" | "Built-in washing machine"
neff-c24gr3xg1b | Neff | C24GR3XG1B | microwaves | 899 | "N 70 Built-in microwave oven 60 x 45 cm Graphite-Grey" | "N 70 Built-in microwave oven"
neff-hlawd23g0b | Neff | HLAWD23G0B | microwaves | 429 | "N 50 Built-in microwave oven Graphite-Grey" | "N 50 Built-in microwave oven"
neff-hlawd23n0b | Neff | HLAWD23N0B | microwaves | 429 | "N 50 Built-in microwave oven Black" | "N 50 Built-in microwave oven"
neff-hlawg25s3b | Neff | HLAWG25S3B | microwaves | no-price | "N 30 Built-in microwave oven Black" | "N 30 Built-in microwave oven"
neff-b1ace4ag3b | Neff | B1ACE4AG3B | ovens | 599 | "N 50 Built-in oven 60 x 60 cm Graphite-Grey" | "N 50 Built-in oven"
neff-b1dcc0ak3b | Neff | B1DCC0AK3B | ovens | 399 | "N 30 Built-in oven 60 x 60 cm Black" | "N 30 Built-in oven"
neff-b2ccj7ak0b | Neff | B2CCJ7AK0B | ovens | 549 | "N 30 Built-in oven 60 x 60 cm Black" | "N 30 Built-in oven"
neff-b54cr31g0b | Neff | B54CR31G0B | ovens | no-price | "N 70 Built-in oven 60 x 60 cm Graphite-Grey" | "N 70 Built-in oven"
neff-b54cr31n0b | Neff | B54CR31N0B | ovens | no-price | "N 70 Built-in oven 60 x 60 cm Stainless steel" | "N 70 Built-in oven"
neff-b64vs71g0b | Neff | B64VS71G0B | ovens | no-price | "N 90 Built-in oven with added steam function 60 x 60 cm Graphite-Grey" | "N 90 Built-in oven with added steam function"
neff-c1amg84g1b | Neff | C1AMG84G1B | ovens | no-price | "N 50 Built-in microwave oven with hot air 60 x 45 cm Graphite-Grey" | "N 50 Built-in microwave oven with hot air"
neff-c1amg84n1b | Neff | C1AMG84N1B | ovens | 749 | "N 50 Built-in microwave oven with hot air 60 x 45 cm Stainless steel" | "N 50 Built-in microwave oven with hot air"
neff-c24mr21g0b | Neff | C24MR21G0B | ovens | 1099 | "N 70 Built-in compact oven with microwave function 60 x 45 cm Graphite-Grey" | "N 70 Built-in compact oven with microwave function"
neff-c24mr21n0b | Neff | C24MR21N0B | ovens | 1099 | "N 70 Built-in compact oven with microwave function 60 x 45 cm Stainless steel" | "N 70 Built-in compact oven with microwave function"
neff-c24ms71g0b | Neff | C24MS71G0B | ovens | 1499 | "N 90 Built-in compact oven with microwave function 60 x 45 cm Graphite-Grey" | "N 90 Built-in compact oven with microwave function"
neff-u1dcc0ak3b | Neff | U1DCC0AK3B | ovens | 699 | "N 30 Built-in double oven" | "N 30 Built-in double oven"
neff-u2ach7ag7b | Neff | U2ACH7AG7B | ovens | 1299 | "N 50 Built-in double oven" | "N 50 Built-in double oven"
neff-u2ach7an7b | Neff | U2ACH7AN7B | ovens | 1299 | "N 50 Built-in double oven" | "N 50 Built-in double oven"
neff-00032196 | Neff | 00032196 | spare-parts | 10.66 | "Oven Lamp – E14, 25W" | "Oven Lamp – E14, 25W"
neff-00068492 | Neff | 00068492 | spare-parts | 5.02 | "Bushing" | "Bushing"
neff-00096824 | Neff | 00096824 | spare-parts | no-price | "Seal-door" | "Seal-door"
neff-00155333 | Neff | 00155333 | spare-parts | 13.48 | "Glass light cover" | "Glass light cover"
neff-00169301 | Neff | 00169301 | spare-parts | 10.1 | "Bushing For refrigerators" | "Bushing For refrigerators"
neff-00170218 | Neff | 00170218 | spare-parts | 8.1 | "Lamp 25W" | "Lamp 25W"
neff-00181272 | Neff | 00181272 | spare-parts | 13.13 | "Lock-mechanical Set: 2xHaken und 2xDrehgriff" | "Lock-mechanical Set: 2xHaken und 2xDrehgriff"
neff-00188840 | Neff | 00188840 | spare-parts | 42.01 | "Knob-oven" | "Knob-oven"
neff-00215217 | Neff | 00215217 | spare-parts | 50.06 | "Seal-door For refrigerators/freezers" | "Seal-door For refrigerators/freezers"
neff-00264984 | Neff | 00264984 | spare-parts | 13.66 | "Cover" | "Cover"
neff-00353045 | Neff | 00353045 | spare-parts | 32.32 | "Tray For refrigerators" | "Tray For refrigerators"
neff-00355494 | Neff | 00355494 | spare-parts | 22.78 | "Slide" | "Slide"
neff-00355752 | Neff | 00355752 | spare-parts | 146.38 | "Door-freezer compartment" | "Door-freezer compartment"
