# slug | brand | code | assigned_leaf | price | title | description
neff-00449004 | Neff | 00449004 | spare-parts | 30.04 | "Frozen food container" | "Frozen food container"
neff-00449014 | Neff | 00449014 | spare-parts | 35.6 | "Frozen food container low" | "Frozen food container low"
neff-00481147 | Neff | 00481147 | spare-parts | 59.14 | "Fridge Freezer Flat Hinge 2pcs" | "Fridge Freezer Flat Hinge 2pcs"
neff-00489140 | Neff | 00489140 | spare-parts | 34.44 | "Seal-door closed, for frame, grey" | "Seal-door closed, for frame, grey"
neff-00491638 | Neff | 00491638 | spare-parts | 54.26 | "Seal-door" | "Seal-door"
neff-00494643 | Neff | 00494643 | spare-parts | 44.98 | "Heater-ring 240V/1700W" | "Heater-ring 240V/1700W"
neff-00496368 | Neff | 00496368 | spare-parts | 41.94 | "Seal-door self contained, compactoven" | "Seal-door self contained, compactoven"
neff-00499003 | Neff | 00499003 | spare-parts | 36.97 | "Heater-ring 2300W, 240V" | "Heater-ring 2300W, 240V"
neff-00606320 | Neff | 00606320 | spare-parts | 4.86 | "Cover Mica Sheet For Microwaves" | "Cover Mica Sheet"
neff-00612218 | Neff | 00612218 | spare-parts | 31.18 | "Coupling Electrical coupling kit, case and support" | "Coupling Electrical coupling kit, case and support"
neff-00615300 | Neff | 00615300 | spare-parts | 18.37 | "Burner cap BLACK MATT LID S/RAP. BURNER (SUPPLIER)" | "Burner cap BLACK MATT LID S/RAP. BURNER (SUPPLIER)"
neff-00622622 | Neff | 00622622 | spare-parts | 4.66 | "Fixing kit Left / right attachment brackets" | "Fixing kit Left / right attachment brackets"
neff-00625761 | Neff | 00625761 | spare-parts | 8.03 | "OSRAM Halogen lamp 30W, 230V, E14" | "OSRAM Halogen lamp 30W, 230V, E14"
neff-00629023 | Neff | 00629023 | spare-parts | 16.66 | "Repair-set 20W/230V Glass cover, Lamp, ring" | "Repair-set 20W/230V Glass cover, Lamp, ring"
