# slug | brand | code | assigned_leaf | price | title | description
aeg-ccx6530acm | AEG | CCX6530ACM | cookers | 589.99 | "60cm Double Oven Electric Cooker with Ceramic Hob - Stainless Steel" | "CCX6530ACM AEG CCX6530ACM 60cm Double Oven Electric Cooker with Ceramic Hob - Stainless Steel"
aeg-ga5cb50fab | AEG | GA5CB50FAB | ovens | 600 | "59.5cm Built In Electric Single Oven - Gloss Black with Steel Trim" | "GA5CB50FAB AEG GA5CB50FAB 59.5cm Built In Electric Single Oven - Gloss Black with Steel Trim"
aeg-ga5pb50fab | AEG | GA5PB50FAB | ovens | 720 | "59.5cm Built In Electric Single Oven - Gloss Black with Steel Trim" | "GA5PB50FAB AEG GA5PB50FAB 59.5cm Built In Electric Single Oven - Gloss Black with Steel Trim"
aeg-ge7cp61fb | AEG | GE7CP61FB | ovens | 1140 | "59.4cm Built In Electric Double Oven - Gloss Black with Steel Trim" | "GE7CP61FB AEG GE7CP61FB 59.4cm Built In Electric Double Oven - Gloss Black with Steel Trim"
aeg-gi5200c2su | AEG | GI5200C2SU | integrated-dishwashers | 696 | "Integrated Dishwasher - 14 Place Settings" | "GI5200C2SU AEG GI5200C2SU Integrated Dishwasher - 14 Place Settings"
aeg-gi6200b2tu | AEG | GI6200B2TU | integrated-dishwashers | 780 | "Integrated Dishwasher - 14 Place Settings" | "GI6200B2TU AEG GI6200B2TU Integrated Dishwasher - 14 Place Settings"
aeg-gi8200a2tu | AEG | GI8200A2TU | integrated-dishwashers | 749.99 | "Integrated Dishwasher - 14 Place Settings" | "GI8200A2TU AEG GI8200A2TU Integrated Dishwasher - 14 Place Settings"
aeg-gk6nk40fb | AEG | GK6NK40FB | microwaves | 720 | "59.5cm Compact Combi Microwave Oven - Gloss Black with Steel Trim" | "GK6NK40FB AEG GK6NK40FB 59.5cm Compact Combi Microwave Oven - Gloss Black with Steel Trim"
aeg-gk7nk62fb | AEG | GK7NK62FB | microwaves | 1080 | "59.5cm Compact Combi Microwave Oven - Gloss Black with Steel Trim" | "GK7NK62FB AEG GK7NK62FB 59.5cm Compact Combi Microwave Oven - Gloss Black with Steel Trim"
aeg-gr6pb52fsb | AEG | GR6PB52FSB | ovens | 1200 | "59.6cm Built In Electric Single Oven - Gloss Black with Steel Trim" | "GR6PB52FSB AEG GR6PB52FSB 59.6cm Built In Electric Single Oven - Gloss Black with Steel Trim"
aeg-gu5cp20m | AEG | GU5CP20M | ovens | 549.99 | "59.4cm Built In Multifunction Double Oven" | "GU5CP20M AEG GU5CP20M 59.4cm Built In Multifunction Double Oven"
