# slug | brand | code | assigned_leaf | price | title | description
blomberg-ltk310030w | Blomberg | LTK310030W | tumble-dryers | 439.99 | "Freestanding Condenser Dryer - 10Kg - Sensor Drying - Interior Light - Large Door Opening - Auto" | "LTK310030W BLOMBERG Freestanding Condenser Dryer - 10Kg - Sensor Drying - Interior Light - Large Door Opening - Auto"
blomberg-rowd4200b | Blomberg | ROWD4200B | warming-drawers | 338 | "14CM WARMING DRAWER - 5 Functions - 22L Capacity - 4 Temperature Levels - Black" | "ROWD4200B BLOMBERG 14CM WARMING DRAWER - 5 Functions - 22L Capacity - 4 Temperature Levels - Black"
blomberg-tsm1654iu | Blomberg | TSM1654IU | fridges | 369.99 | "Integrated Undercounter Larder Fridge - White - 59.5cm - E Rated - Fixed Hinge" | "TSM1654IU Blomberg - Integrated Undercounter Larder Fridge - White - 59.5cm - E Rated - Fixed Hinge"
bosch-dul63cc50b-2 | Bosch | DUL63CC50B | cooker-hoods | 212 | "60cm Built under Hood DUL63CC50B - 3 speed - LED lights - Brushed Steel - D Energy" | "DUL63CC50B BOSCH 60cm Built under Hood DUL63CC50B - 3 speed - LED lights - Brushed Steel - D Energy"
bosch-ffl020ms2b-2 | Bosch | FFL020MS2B | microwaves | 119 | "Freestanding Microwave - 20L - 800W - 5 Power Levels - 27cm TurnTable - Black with Steel Trim" | "FFL020MS2B BOSCH Freestanding Microwave - 20L - 800W - 5 Power Levels - 27cm TurnTable - Black with Steel Trim"
bosch-gin81vee0g-2 | Bosch | GIN81VEE0G | freezers | 999 | "Built in Tall Freezer GIN81VEE0G - NoFrost - 5 Drawers - 2 Flaps - FixedHinge" | "GIN81VEE0G Bosch Built in Tall Freezer GIN81VEE0G - NoFrost - 5 Drawers - 2 Flaps - FixedHinge"
bosch-gsn36vwepg-2 | Bosch | GSN36VWEPG | freezers | 749 | "Series4 Freestanding Freezer - NoFrost - 7 Compartments - 2 BigBox - EasyAccess Shelves - LED" | "GSN36VWEPG BOSCH Series4 Freestanding Freezer - NoFrost - 7 Compartments - 2 BigBox - EasyAccess Shelves - LED"
bosch-gtv15nwebg-2 | Bosch | GTV15NWEBG | freezers | 299 | "Freestanding Under-Counter Freezer - Temp warning- Super Freeze - Static Defrost - E Energy - White" | "GTV15NWEBG BOSCH Freestanding Under-Counter Freezer - Temp warning- Super Freeze - Static Defrost - E Energy - White"
bosch-hqa574bs3b-2 | Bosch | HQA574BS3B | ovens | 599 | "59.4cm Built In Electric Pyrolytic Single Oven - Stainless Steel" | "HQA574BS3B Bosch HQA574BS3B 59.4cm Built In Electric Pyrolytic Single Oven - Stainless Steel"
bosch-kfd96apea-2 | Bosch | KFD96APEA | american-fridge-freezers | 2199 | "Serie6 Multi-Door Fridge Freezer KFD96APEA - 4 doors - Ice&Water - Plumbed - NoFrost Freezer - VitaFresh" | "KFD96APEA BOSCH Serie6 Multi-Door Fridge Freezer KFD96APEA - 4 doors - Ice&Water - Plumbed - NoFrost Freezer - VitaFresh"
bosch-kgn34nleag-2 | Bosch | KGN34NLEAG | fridge-freezers | 549 | "Freestanding Fridge-Freezer - 186x60 - NoFrost - LED light - 5050 split • F Energy - Inox-Look" | "KGN34NLEAG BOSCH Freestanding Fridge-Freezer - 186x60 - NoFrost - LED light - 5050 split • F Energy - Inox-Look"
bosch-kin85nse0g-2 | Bosch | KIN85NSE0G | fridge-freezers | 699 | "Integrated Fridge-Freezer KIN85NSE0G - NoFrost Freezer - 5050 Split - Sliding Hinge - E Energy" | "KIN85NSE0G BOSCH Integrated Fridge-Freezer KIN85NSE0G - NoFrost Freezer - 5050 Split - Sliding Hinge - E Energy"
bosch-kir21nse0-2 | Bosch | KIR21NSE0 | fridges | 567 | "Series2 Built In in-column larder fridge KIR21NSE0 - LED Lights - Door Open Warning - Sliding Hinge" | "KIR21NSE0 BOSCH Series2 Built In in-column larder fridge KIR21NSE0 - LED Lights - Door Open Warning - Sliding Hinge"
bosch-kir81add0g-2 | Bosch | KIR81ADD0G | fridges | 1099 | "Series 6 Integrated Larder Fridge KIR81ADD0G - VitaFresh Plus - MultiBox - BottleRack - LED Light - 7 Glass" | "KIR81ADD0G BOSCH Series 6 Integrated Larder Fridge KIR81ADD0G - VitaFresh Plus - MultiBox - BottleRack - LED Light - 7 Glass"
bosch-kir81vfe0g-2 | Bosch | KIR81VFE0G | fridges | 999 | "Series 4 Integrated Larder Fridge - MultiBox - BottleRack - LED Light - 7 Glass Shelves - Fixed" | "KIR81VFE0G BOSCH Series 4 Integrated Larder Fridge - MultiBox - BottleRack - LED Light - 7 Glass Shelves - Fixed"
bosch-kul22vfd0g-2 | Bosch | KUL22VFD0G | fridges | 549 | "Series 4 Integrated Under Counter Fridge with Ice-Box KUL22VFD0G - 2 Vegetable Drawers - LED Lighting - HomeConnect" | "KUL22VFD0G BOSCH Series 4 Integrated Under Counter Fridge with Ice-Box KUL22VFD0G - 2 Vegetable Drawers - LED Lighting - HomeConnect"
bosch-pke611ca3e-2 | Bosch | PKE611CA3E | hobs | 249 | "Series 2 60cm Ceramic Hob PKE611CA3E - 4 Zones - 17 Power Levels - Side Control Dials - Frameless - Black Glass" | "PKE611CA3E BOSCH Series 2 60cm Ceramic Hob PKE611CA3E - 4 Zones - 17 Power Levels - Side Control Dials - Frameless - Black Glass"
bosch-sms26aw08g-2 | Bosch | SMS26AW08G | freestanding-dishwashers | 399 | "Series 2 Freestanding Dishwasher - 6 Prog. - VarioBaskets - Polinox - 12 Place Setting - E Energy" | "SMS26AW08G BOSCH Series 2 Freestanding Dishwasher - 6 Prog. - VarioBaskets - Polinox - 12 Place Setting - E Energy"
bosch-smv2htx02g-2 | Bosch | SMV2HTX02G | integrated-dishwashers | 449 | "Series2 60cm Integrated Dishwasher SMV2HTX02G - 5 programmes - Normal baskets - Info Light, 46dB - 9L" | "SMV2HTX02G BOSCH Series2 60cm Integrated Dishwasher SMV2HTX02G - 5 programmes - Normal baskets - Info Light, 46dB - 9L"
bosch-smv4ecx23g-2 | Bosch | SMV4ECX23G | integrated-dishwashers | 699 | "Series 4 60cm Integrated Dishwasher SMV4ECX23G - 6 Prog. - Flex CutlaryDrawer - 14 Place - 40dB - C Energy" | "SMV4ECX23G BOSCH Series 4 60cm Integrated Dishwasher SMV4ECX23G - 6 Prog. - Flex CutlaryDrawer - 14 Place - 40dB - C Energy"
bosch-sps4hmi49g | Bosch | SPS4HMI49G | freestanding-dishwashers | 549 | "Series4 45cm Freestanding Dishwasher-6 Prog-VarioFlex-10 Place Setting - E Enrgy - Silver Inox" | "SPS4HMI49G BOSCH Series4 45cm Freestanding Dishwasher-6 Prog-VarioFlex-10 Place Setting - E Enrgy - Silver Inox"
bosch-wgg24400gb-2 | Bosch | WGG24400GB | washing-machines | 499 | "Seriess 6 Freestanding Washing Machine - 9Kg - 1400 Spin-EcoSilence-SpeedPerfect-A Energy" | "WGG24400GB BOSCH Seriess 6 Freestanding Washing Machine - 9Kg - 1400 Spin-EcoSilence-SpeedPerfect-A Energy"
bosch-wgg244zcgb-2 | Bosch | WGG244ZCGB | washing-machines | 599 | "9kg 1400 Spin Washing Machine - Graphite" | "WGG244ZCGB Bosch WGG244ZCGB 9kg 1400 Spin Washing Machine - Graphite"
bosch-wgh254a0gb-2 | Bosch | WGH254A0GB | washing-machines | 799 | "Series 6 Freestanding Washing Machine-10Kg-1400Spin-i-Dos-IronAssist-MiniLoad-A-20% Energy - White" | "WGH254A0GB BOSCH Series 6 Freestanding Washing Machine-10Kg-1400Spin-i-Dos-IronAssist-MiniLoad-A-20% Energy - White"
bosch-wgh254argb-2 | Bosch | WGH254ARGB | washing-machines | 899 | "Series6FreestandingWashingMachine-10Kg-1400Spin-i-Dos-IronAssist-MiniLoad-A-20%Energy-Graphite" | "WGH254ARGB BOSCH Series6FreestandingWashingMachine-10Kg-1400Spin-i-Dos-IronAssist-MiniLoad-A-20%Energy-Graphite"
bosch-wiw28502gb-2 | Bosch | WIW28502GB | washing-machines | 799 | "Series 8 Integrated Washing Machine WIW28502GB - 8Kg - 1400 Spin - TimeLight - Delay Timer - LED" | "WIW28502GB BOSCH Series 8 Integrated Washing Machine WIW28502GB - 8Kg - 1400 Spin - TimeLight - Delay Timer - LED"
bosch-wna134u8gb-2 | Bosch | WNA134U8GB | washer-dryers | 599 | "WasherDryer-8kg wash/5kgDry - 1400 Spin - LED Display - SpeedPerfect - Ecosilence Drive - C" | "WNA134U8GB BOSCH WasherDryer-8kg wash/5kgDry - 1400 Spin - LED Display - SpeedPerfect - Ecosilence Drive - C"
bosch-wna144v9gb-2 | Bosch | WNA144V9GB | washer-dryers | 699 | "Serie4 Freestanding Washer-Dryer - 9kg/5kg/1400rpm/Large LED display/SpeedPerfect/Eco" | "WNA144V9GB BOSCH Serie4 Freestanding Washer-Dryer - 9kg/5kg/1400rpm/Large LED display/SpeedPerfect/Eco"
fisher-paykel-rf540adux6 | Fisher & Paykel | RF540ADUX6 | american-fridge-freezers | 2299 | "569L Series 7 French Door Refrigerator Freezer - Ice & Water - E Energy - SS" | "RF540ADUX6 FISHER & PAYKEL 569L Series 7 French Door Refrigerator Freezer - Ice & Water - E Energy - SS"
fisher-paykel-rf605qnuvx1 | Fisher & Paykel | RF605QNUVX1 | american-fridge-freezers | 2299 | "Freestanding Quad Door Refrigerator Freezer, 90.5cm, 538L, Ice & Water" | "RF605QNUVX1 Freestanding Quad Door Refrigerator Freezer, 90.5cm, 538L, Ice & Water"
fisher-paykel-rf610adjx7 | Fisher & Paykel | RF610ADJX7 | american-fridge-freezers | 2199 | "90cm Frost Free American Fridge Freezer - Stainless Steel Just ICE" | "RF610ADJX7 Fisher & Paykel RF610ADJX7 90cm Frost Free American Fridge Freezer - Stainless Steel Just ICE"
fisher-paykel-rf610adx6 | Fisher & Paykel | RF610ADX6 | american-fridge-freezers | 1999 | "Fisher and Paykel RF610ADX6 Freestanding French Door Refrigerator Freezer, 90cm, 569L" | "RF610ADX6 Fisher and Paykel RF610ADX6 Freestanding French Door Refrigerator Freezer, 90cm, 569L"
haden-hk127w | Haden | HK127W | fridge-freezers | 279.99 | "48.7cm 70/30 Fridge Freezer - White 127.6 Tall 48.7w 54d" | "HK127W Haden HK127W 48.7cm 70/30 Fridge Freezer - White 127.6 Tall 48.7w 54d"
haier-clc108-gnu1-uk | Haier | CLC108-GNU1-UK | washer-dryers | 1400 | "10kg/8kg Washer Dryer - Graphite" | "CLC108-GNU1-UK Haier CLC108-GNU1-UK 10kg/8kg Washer Dryer - Graphite"
haier-hcr3818enmm | Haier | HCR3818ENMM | fridge-freezers | 699.99 | "83.3cm Total No Frost Fridge Freezer - Inox" | "HCR3818ENMM Haier HCR3818ENMM 83.3cm Total No Frost Fridge Freezer - Inox"
haier-hd100-c367u1-uk | Haier | HD100-C367U1-UK | tumble-dryers | 499 | "10kg Heat Pump Tumble Dryer - White" | "HD100-C367U1-UK Haier HD100-C367U1-UK 10kg Heat Pump Tumble Dryer - White"
haier-hd90-d357u1g-uk | Haier | HD90-D357U1G-UK | tumble-dryers | 429 | "9kg Heat Pump Tumble Dryer - Graphite" | "HD90-D357U1G-UK Haier HD90-D357U1G-UK 9kg Heat Pump Tumble Dryer - Graphite"
haier-htr3518enmwk | Haier | HTR3518ENMWK | fridge-freezers | 449 | "60/40 Total Frost Free Fridge Freezer - White" | "HTR3518ENMWK Haier HTR3518ENMWK 60/40 Total Frost Free Fridge Freezer - White"
haier-htw5618ewmg | Haier | HTW5618EWMG | fridge-freezers | 544 | "60/40 Fridge Freezer - Silver" | "HTW5618EWMG Haier HTW5618EWMG 60/40 Fridge Freezer - Silver"
haier-hw100-b14367u-u | Haier | HW100-B14367U-U | washing-machines | 399 | "HW100-B14367U-UK 10kg 1400 Spin Washing Machine - White" | "HW100-B14367U-U Haier HW100-B14367U-UK 10kg 1400 Spin Washing Machine - White"
haier-hw100bp14357guu | Haier | HW100BP14357GUU | washing-machines | 329 | "HW100BP14357GUUK 10kg 1400 Spin Washing Machine - Graphite" | "HW100BP14357GUU Haier HW100BP14357GUUK 10kg 1400 Spin Washing Machine - Graphite"
