# slug | brand | code | assigned_leaf | price | title | description
haier-hw110-bd14397uu | Haier | HW110-BD14397UU | washing-machines | 999 | "HW110-BD14397UUK 11kg 1400 Spin Washing Machine - White" | "HW110-BD14397UU Haier HW110-BD14397UUK 11kg 1400 Spin Washing Machine - White"
haier-hw90-bp14357tuu | Haier | HW90-BP14357TUU | washing-machines | 379 | "HW90-BP14357TUUK 9kg, 1400 Spin Washing Machine - White" | "HW90-BP14357TUU Haier HW90-BP14357TUUK 9kg, 1400 Spin Washing Machine - White"
haier-hwb100b14858guu | Haier | HWB100B14858GUU | washing-machines | 649 | "HWB100B14858GUUK 10kg 1400 Spin Washing Machine - Graphite & Black" | "HWB100B14858GUU Haier HWB100B14858GUUK 10kg 1400 Spin Washing Machine - Graphite & Black"
haier-hwd90bp14357gtu | Haier | HWD90BP14357GTU | washer-dryers | 446 | "HWD90BP14357GTUK 9kg/5kg 1400 Spin Washer Dryer - Graphite" | "HWD90BP14357GTU Haier HWD90BP14357GTUK 9kg/5kg 1400 Spin Washer Dryer - Graphite"
haier-hwd90bp14357tuu | Haier | HWD90BP14357TUU | washer-dryers | 449 | "HWD90BP14357TUUK 9kg/5kg 1400 Spin Washer Dryer - White" | "HWD90BP14357TUU Haier HWD90BP14357TUUK 9kg/5kg 1400 Spin Washer Dryer - White"
haier-xf6b2m3bx-80 | Haier | XF6B2M3BX-80 | freestanding-dishwashers | 649 | "XF 6B2M3BX-80 Dishwasher - Silver - 16 Place Settings" | "XF6B2M3BX-80 Haier XF 6B2M3BX-80 Dishwasher - Silver - 16 Place Settings"
haier-xs4a4m4bb-80 | Haier | XS4A4M4BB-80 | integrated-dishwashers | 649 | "XS 4A4M4BB-80 Built In Dishwasher - 14 Place Settings" | "XS4A4M4BB-80 Haier XS 4A4M4BB-80 Built In Dishwasher - 14 Place Settings"
hisense-hdcec5c10b | Hisense | HDCEC5C10B | cookers | 349 | "50cm Double Oven Electric Cooker with Ceramic Hob - Black" | "HDCEC5C10B Hisense HDCEC5C10B 50cm Double Oven Electric Cooker with Ceramic Hob - Black"
hisense-hde3211bbuk | Hisense | HDE3211BBUK | cookers | 394 | "60cm Double Oven Electric Cooker with Ceramic Hob - Black" | "HDE3211BBUK Hisense HDE3211BBUK 60cm Double Oven Electric Cooker with Ceramic Hob - Black"
hisense-hs523e15buk | Hisense | HS523E15BUK | freestanding-dishwashers | 262 | "Slimline Dishwasher - Black - 10 Place Settings" | "HS523E15BUK Hisense HS523E15BUK Slimline Dishwasher - Black - 10 Place Settings"
hisense-hs523e15wuk | Hisense | HS523E15WUK | freestanding-dishwashers | 244 | "Slimline Dishwasher - White - 10 Place Settings" | "HS523E15WUK Hisense HS523E15WUK Slimline Dishwasher - White - 10 Place Settings"
