# slug | brand | code | assigned_leaf | price | title | description
hotpoint-hsicih4798bi | Hotpoint | HSICIH4798BI | integrated-dishwashers | 319.99 | "Built-in Slimline Dishwasher - E Energy - 10 Place - 8 Prog. - Button Control - Inverter Motor" | "HSICIH4798BI HOTPOINT Built-in Slimline Dishwasher - E Energy - 10 Place - 8 Prog. - Button Control - Inverter Motor"
lg-43nano80a6b-aek | LG | 43NANO80A6B.AEK | televisions | 299 | "43\" 4K Ultra HD Smart TV" | "43NANO80A6B.AEK \"LG 43NANO80A6B.AEK 43\" 4K Ultra HD Smart TV\""
lg-55nano80a6b-aek | LG | 55NANO80A6B.AEK | televisions | 384 | "55\" 4K NanoCell Smart TV" | "55NANO80A6B.AEK \"LG 55NANO80A6B.AEK 55\" 4K NanoCell Smart TV\""
lg-55ua74006lb-aek | LG | 55UA74006LB.AEK | televisions | 321 | "55\" 4K Ultra HD Smart TV" | "55UA74006LB.AEK \"LG 55UA74006LB.AEK 55\" 4K Ultra HD Smart TV\""
lg-65ua74006lb-aek | LG | 65UA74006LB.AEK | televisions | 429 | "65\" 4K Ultra HD Smart TV" | "65UA74006LB.AEK \"LG 65UA74006LB.AEK 65\" 4K Ultra HD Smart TV\""
lg-75nano80a6b-aek | LG | 75NANO80A6B.AEK | televisions | 726 | "75\" 4K Ultra HD QNED Smart TV" | "75NANO80A6B.AEK \"LG 75NANO80A6B.AEK 75\" 4K Ultra HD QNED Smart TV\""
lg-db273tx | LG | DB273TX | freestanding-dishwashers | 959 | "QuadWash DB273TX WiFi Connected Dishwasher - 14 Place Settings" | "DB273TX LG QuadWash DB273TX WiFi Connected Dishwasher - 14 Place Settings"
lg-df273fvs | LG | DF273FVS | freestanding-dishwashers | 959 | "TrueSteam QuadWash DF273FVS WiFi Connected Full Size Dishwasher - Silver - 14 Place Settings" | "DF273FVS LG TrueSteam QuadWash DF273FVS WiFi Connected Full Size Dishwasher - Silver - 14 Place Settings"
lg-df587hms | LG | DF587HMS | freestanding-dishwashers | 699 | "TrueSteam QuadWash DF587HMS WiFi Connected Full Size Dishwasher - Matte Black - 14 Place Settings" | "DF587HMS LG TrueSteam QuadWash DF587HMS WiFi Connected Full Size Dishwasher - Matte Black - 14 Place Settings"
lg-f2x50s9tbb | LG | F2X50S9TBB | washing-machines | 399 | "9kg 1200 Spin Washing Machine - Black" | "F2X50S9TBB LG F2X50S9TBB 9kg 1200 Spin Washing Machine - Black"
lg-f2x50s9twb | LG | F2X50S9TWB | washing-machines | 379 | "9kg 1200 Spin Washing Machine - White" | "F2X50S9TWB LG F2X50S9TWB 9kg 1200 Spin Washing Machine - White"
lg-f4x1009nmk | LG | F4X1009NMK | washing-machines | 599 | "9kg 1400 Spin Washing Machine - Slate Grey" | "F4X1009NMK LG F4X1009NMK 9kg 1400 Spin Washing Machine - Slate Grey"
lg-f4x1009nwk | LG | F4X1009NWK | washing-machines | 299 | "9kg 1400 Spin Washing Machine - White" | "F4X1009NWK LG F4X1009NWK 9kg 1400 Spin Washing Machine - White"
lg-f4x5011twb | LG | F4X5011TWB | washing-machines | 449 | "11kg 1400 Spin Washing Machine - White" | "F4X5011TWB LG F4X5011TWB 11kg 1400 Spin Washing Machine - White"
lg-f4x7009tbb | LG | F4X7009TBB | washing-machines | 499 | "9kg 1400 Spin Washing Machine - Black" | "F4X7009TBB LG F4X7009TBB 9kg 1400 Spin Washing Machine - Black"
lg-f4x7011tbb | LG | F4X7011TBB | washing-machines | 719 | "11kg 1400 Spin Washing Machine - Black" | "F4X7011TBB LG F4X7011TBB 11kg 1400 Spin Washing Machine - Black"
lg-f4y510gbln1 | LG | F4Y510GBLN1 | washing-machines | 409 | "10kg 1400 Spin Washing Machine - Slate Grey" | "F4Y510GBLN1 LG F4Y510GBLN1 10kg 1400 Spin Washing Machine - Slate Grey"
lg-f4y510wbln1 | LG | F4Y510WBLN1 | washing-machines | 389 | "10kg 1400 Spin Washing Machine - White" | "F4Y510WBLN1 LG F4Y510WBLN1 10kg 1400 Spin Washing Machine - White"
lg-f4y513gbln1 | LG | F4Y513GBLN1 | washing-machines | 469 | "13kg 1400 Spin Washing Machine - Slate Grey" | "F4Y513GBLN1 LG F4Y513GBLN1 13kg 1400 Spin Washing Machine - Slate Grey"
lg-f4y513wwln1 | LG | F4Y513WWLN1 | washing-machines | 499 | "13kg 1400 Spin Washing Machine - White" | "F4Y513WWLN1 LG F4Y513WWLN1 13kg 1400 Spin Washing Machine - White"
