# slug | brand | code | assigned_leaf | price | title | description
lg-oled65c56lb-aek | LG | OLED65C56LB.AEK | televisions | 249.99 | "65\" 4K Smart TV" | "OLED65C56LB LG OLED65C56LB.AEK 65\" 4K Smart TV"
lg-oled65g54lw-aek | LG | OLED65G54LW.AEK | televisions | 2028 | "OLED OLED65G54LW.AEK G5 65\" 4K Smart TV - Black" | "OLED65G54LW.AEK \"LG OLED OLED65G54LW.AEK G5 65\" 4K Smart TV - Black\""
lg-oled65g56ls-aek | LG | OLED65G56LS.AEK | televisions | 2028 | "65\" evo AI G5 4K Smart TV - Black" | "OLED65G56LS.AEK \"LG OLED65G56LS.AEK 65\" evo AI G5 4K Smart TV - Black\""
lg-oled77c56lb-aek | LG | OLED77C56LB.AEK | televisions | 2313 | "77\" 4K OLED Smart TV" | "OLED77C56LB.AEK \"LG OLED77C56LB.AEK 77\" 4K OLED Smart TV\""
lg-rhx1009nmk | LG | RHX1009NMK | tumble-dryers | 839 | "RHX1009NWK 9kg Heat Pump Tumble Dryer - Grey" | "RHX1009NMK LG RHX1009NWK 9kg Heat Pump Tumble Dryer - Grey"
lg-rhx1009nwk | LG | RHX1009NWK | tumble-dryers | 839 | "9kg Heat Pump Tumble Dryer - White" | "RHX1009NWK LG RHX1009NWK 9kg Heat Pump Tumble Dryer - White"
lg-rhx7010tbb | LG | RHX7010TBB | tumble-dryers | 1020 | "10kg Heat Pump Tumble Dryer - Black" | "RHX7010TBB LG RHX7010TBB 10kg Heat Pump Tumble Dryer - Black"
lg-w4x1095nnk | LG | W4X1095NNK | washer-dryers | 659 | "9kg/5kg 1400 Spin Washer Dryer - Gloss Black" | "W4X1095NNK LG W4X1095NNK 9kg/5kg 1400 Spin Washer Dryer - Gloss Black"
lg-w4x1095nwk | LG | W4X1095NWK | washer-dryers | 635 | "9kg/5kg 1400 Spin Washer Dryer - White" | "W4X1095NWK LG W4X1095NWK 9kg/5kg 1400 Spin Washer Dryer - White"
lg-wt1210wwf | LG | WT1210WWF | washer-dryers | 2279 | "12kg/10kg 1400 Spin Wash Tower - White" | "WT1210WWF LG WT1210WWF 12kg/10kg 1400 Spin Wash Tower - White"
liebherr-ird4520 | Liebherr | IRd4520 | fridges | 829 | "Built In Fridge 139.7 Tall SoftSystem, EasyFresh, Door on Door" | "IRd4520 LIEBHERR Built In Fridge 139.7 Tall SoftSystem, EasyFresh, Door on Door"
