# slug | brand | code | assigned_leaf | price | title | description
ninja-bc151ukcr | Ninja | BC151UKCR | blenders | 48 | "Cordless Portable Motorised/Compact Blender - Cranberry" | "BC151UKCR Ninja BC151UKCR Cordless Portable Motorised/Compact Blender - Cranberry"
ninja-bc151ukem | Ninja | BC151UKEM | blenders | 48 | "Cordless Portable Motorised/Compact Blender - Emerald Green" | "BC151UKEM Ninja BC151UKEM Cordless Portable Motorised/Compact Blender - Emerald Green"
ninja-bc151ukpr | Ninja | BC151UKPR | blenders | 48 | "Cordless Portable Motorised/Compact Blender - Passion Fruit" | "BC151UKPR Ninja BC151UKPR Cordless Portable Motorised/Compact Blender - Passion Fruit"
ninja-bc151ukwh | Ninja | BC151UKWH | blenders | 48 | "Cordless Portable Motorised/Compact Blender - White" | "BC151UKWH Ninja BC151UKWH Cordless Portable Motorised/Compact Blender - White"
ninja-bc251ukgy | Ninja | BC251UKGY | blenders | 89 | "Compact Portable Rechargeable Blender - Grey" | "BC251UKGY Ninja BC251UKGY Compact Portable Rechargeable Blender - Grey"
ninja-bc251ukld | Ninja | BC251UKLD | blenders | 89 | "Blast Max Portable Blender - Lavender" | "BC251UKLD Ninja BC251UKLD Ninja Blast Max Portable Blender - Lavender"
ninja-bc251uknv | Ninja | BC251UKNV | blenders | 89 | "Compact Portable Rechargeable Blender - Navy" | "BC251UKNV Ninja BC251UKNV Compact Portable Rechargeable Blender - Navy"
ninja-bc251uksl | Ninja | BC251UKSL | blenders | 89 | "Blast Max Portable Blender - Silver" | "BC251UKSL Ninja BC251UKSL Ninja Blast Max Portable Blender - Silver"
ninja-cb100uk | Ninja | CB100UK | blenders | 120 | "2-in-1 Foodi Power Nutri Blender with Auto-iQ- Silver" | "CB100UK Ninja CB100UK 2-in-1 Foodi Power Nutri Blender with Auto-iQ- Silver"
ninja-ci090uk | Ninja | CI090UK | blenders | 96 | "Foodi 2-in-1 Hand Blender & Mixer - Black" | "CI090UK Ninja CI090UK Ninja Foodi 2-in-1 Hand Blender & Mixer - Black"
ninja-ci100uk | Ninja | CI100UK | blenders | 156 | "Foodi 3-in-1 Hand Blender- Mixer & Chopper - Black" | "CI100UK Ninja CI100UK Foodi 3-in-1 Hand Blender- Mixer & Chopper - Black"
