# slug | brand | code | assigned_leaf | price | title | description
nutribullet-02925 | Nutribullet | 02925 | blenders | 39 | "Flex Portable Blender - Forest Green" | "02925 Nutribullet 02925 Flex Portable Blender - Forest Green"
quooker-quooker-scr | Quooker | Quooker_SCR | cleaning-products | no-price | "SCR QUOOKER Scale Control R" | "SCR QUOOKER Scale Control R"
russell-hobbs-rhm2348b | Russell Hobbs | RHM2348B | microwaves | 119 | "23 Litres Solo Microwave - Black - (29.3cm x 48cm x 35.2cm)" | "RHM2348B RUSSELL HOBBS RHM2348B 23 Litres Solo Microwave - Black - (29.3cm x 48cm x 35.2cm)"
samsung-brb70f26des0eu | Samsung | BRB70F26DES0EU | fridge-freezers | 669 | "54cm 60/40 Integrated Frost Free Fridge Freezer - White" | "BRB70F26DES0EU Samsung BRB70F26DES0EU 54cm 60/40 Integrated Frost Free Fridge Freezer - White"
samsung-dv90bb9445gbs1 | Samsung | DV90BB9445GBS1 | tumble-dryers | 1140 | "9kg Heat Pump Tumble Dryer - Black" | "DV90BB9445GBS1 Samsung DV90BB9445GBS1 9kg Heat Pump Tumble Dryer - Black"
samsung-dv90bb9445ghs1 | Samsung | DV90BB9445GHS1 | tumble-dryers | 1116 | "9kg Heat Pump Tumble Dryer - White" | "DV90BB9445GHS1 Samsung DV90BB9445GHS1 9kg Heat Pump Tumble Dryer - White"
samsung-dv90cgc0a0abeu | Samsung | DV90CGC0A0ABEU | tumble-dryers | 770 | "Series 5 OptimalDry™ DV90CGC0A0ABEU 9kg Smart Heat Pump Tumble Dryer - Black" | "DV90CGC0A0ABEU SAMSUNG Series 5 OptimalDry™ DV90CGC0A0ABEU 9kg Smart Heat Pump Tumble Dryer - Black"
samsung-dv90cgc0a0aeeu | Samsung | DV90CGC0A0AEEU | tumble-dryers | 629 | "Series 5 Heat Pump Tumble Dryer - OptimalDry - White with Black Door" | "DV90CGC0A0AEEU SAMSUNG Series 5 Heat Pump Tumble Dryer - OptimalDry - White with Black Door"
samsung-dv90f09f4su1 | Samsung | DV90F09F4SU1 | tumble-dryers | 1380 | "9kg Heat Pump Tumble Dryer - Dark Grey" | "DV90F09F4SU1 Samsung DV90F09F4SU1 9kg Heat Pump Tumble Dryer - Dark Grey"
samsung-ms23k3515ak-eu | Samsung | MS23K3515AK-EU | microwaves | 99 | "MS23K3515AKEU 23L Solo Microwave Oven with Triple Distribution System - Black" | "MS23K3515AK-EU Samsung MS23K3515AKEU 23L Solo Microwave Oven with Triple Distribution System - Black"
samsung-ms32dg4504ate3 | Samsung | MS32DG4504ATE3 | microwaves | 149 | "32L Solo Microwave with Triple Distribution System - Black" | "MS32DG4504ATE3 Samsung MS32DG4504ATE3 32L Solo Microwave with Triple Distribution System - Black"
samsung-rb34c632esa-eu | Samsung | RB34C632ESA-EU | fridge-freezers | 639 | "RB34C632ESA/EU 59.5cm 65/35 Split Fridge Freezer - Silver / White" | "RB34C632ESA-EU Samsung RB34C632ESA/EU 59.5cm 65/35 Split Fridge Freezer - Silver / White"
samsung-rs57dg400em9eu | Samsung | RS57DG400EM9EU | american-fridge-freezers | 949 | "91cm Frost Free American Fridge Freezer - Silver" | "RS57DG400EM9EU Samsung RS57DG400EM9EU 91cm Frost Free American Fridge Freezer - Silver"
samsung-rs70f66kcfeu | Samsung | RS70F66KCFEU | american-fridge-freezers | 1481.76 | "91cm Side by Side American Fridge Freezer - Black" | "RS70F66KCFEU Samsung RS70F66KCFEU 91cm Side by Side American Fridge Freezer - Black"
samsung-rs70f66kcteu | Samsung | RS70F66KCTEU | american-fridge-freezers | 1399 | "91cm Side by Side American Fridge Freezer - Silver" | "RS70F66KCTEU Samsung RS70F66KCTEU 91cm Side by Side American Fridge Freezer - Silver"
