# slug | brand | code | assigned_leaf | price | title | description
siemens-ed851hq26e | Siemens | ED851HQ26E | hobs | 1999 | "SIEMENSIQ500 80cm Venting Induction Hob ED851HQ26E - TouchSlider - HomeConnect - AutoOnFan -Bevelled Edge - B" | "ED851HQ26E SIEMENSIQ500 80cm Venting Induction Hob ED851HQ26E - TouchSlider - HomeConnect - AutoOnFan -Bevelled Edge - B"
siemens-ex851hvc1e | Siemens | EX851HVC1E | hobs | 999 | "IQ700 80cm FlexInduction Hob EX851HVC1E - TouchSlider - HomeConnect - CookConnect - FrySensor" | "EX851HVC1E SIEMENS IQ700 80cm FlexInduction Hob EX851HVC1E - TouchSlider - HomeConnect - CookConnect - FrySensor"
siemens-ex975lvv1e | Siemens | EX975LVV1E | hobs | 1499 | "IQ700 90cm flexInduction hob EX975LVV1E - dualLightSlider control, 2xFlex + 32 triple, fryingSensor" | "EX975LVV1E SIEMENS IQ700 90cm flexInduction hob EX975LVV1E - dualLightSlider control, 2xFlex + 32 triple, fryingSensor"
siemens-gi81nvee0g | Siemens | GI81NVEE0G | freezers | 1301 | "IQ300 Integrated Tall Freezer GI81NVEE0G - NoFrost - LED - 7 Compartments - 5 Freezer Drawers - 2 Flaps - Fixed" | "GI81NVEE0G SIEMENS IQ300 Integrated Tall Freezer GI81NVEE0G - NoFrost - LED - 7 Compartments - 5 Freezer Drawers - 2 Flaps - Fixed"
siemens-hb776g1b1b | Siemens | HB776G1B1B | ovens | 1099 | "IQ700 Single Oven HB776G1B1B - Multifunction - 13 functions - TFT touchDisplay Plus - softMove - coolStart" | "HB776G1B1B SIEMENS IQ700 Single Oven HB776G1B1B - Multifunction - 13 functions - TFT touchDisplay Plus - softMove - coolStart"
siemens-ki81rvfe0g | Siemens | KI81RVFE0G | fridges | 1183 | "IQ300 Integrated Tall Larder Fridge KI81RVFE0G - 2 Fresh Boxes - BottleRack - 7 Glass Shelves - Fixed Hinge" | "KI81RVFE0G SIEMENS IQ300 Integrated Tall Larder Fridge KI81RVFE0G - 2 Fresh Boxes - BottleRack - 7 Glass Shelves - Fixed Hinge"
siemens-ku20wvhf0g | Siemens | KU20WVHF0G | wine-coolers | 899 | "Integrated Under Counter Wine Cooler KU20WVHF0G - Reversible Glass Door - Single Zone - UV Filter - LED Lighting" | "KU20WVHF0G SIEMENS Integrated Under Counter Wine Cooler KU20WVHF0G - Reversible Glass Door - Single Zone - UV Filter - LED Lighting"
siemens-sn95ex12cg | Siemens | SN95EX12CG | integrated-dishwashers | 1005 | "IQ500 60cm Fully-Integrated Dishwasher SN95EX12CG - AutoOpenDry - DoorOpenAssist - VarioHinge - A" | "SN95EX12CG SIEMENS IQ500 60cm Fully-Integrated Dishwasher SN95EX12CG - AutoOpenDry - DoorOpenAssist - VarioHinge - A"
siemens-sn95yx02cg | Siemens | SN95YX02CG | integrated-dishwashers | 999 | "IQ500 60cm Fully Integrated Dishwasher SN95YX02CG - Zeolith - 8 Prog. - AutoOpenDry - BlueEMotionLight" | "SN95YX02CG SIEMENS IQ500 60cm Fully Integrated Dishwasher SN95YX02CG - Zeolith - 8 Prog. - AutoOpenDry - BlueEMotionLight"
siemens-wq46h2d9gb | Siemens | WQ46H2D9GB | tumble-dryers | 899 | "IQ700 Freestanding Heat Pump Dryer WQ46H2D9GB - 9kg - Sensor - VarioSpeed - HomeConnect - A+++ - White" | "WQ46H2D9GB SIEMENS IQ700 Freestanding Heat Pump Dryer WQ46H2D9GB - 9kg - Sensor - VarioSpeed - HomeConnect - A+++ - White"
smeg-cr329x | Smeg | CR329X | warming-drawers | 689 | "29cm Height Classic Warming Drawer, Finger Friendly Stainless Steel CR329X" | "CR329X SMEG 29cm Height Classic Warming Drawer, Finger Friendly Stainless Steel CR329X"
